,AgeGroup,Age,M_x,F_x,AccPOP,PercPOP,PercPOPM,PercPOPF,ExpPOP,ExpPOPM,ExpPOPF,F_y,M_y,X,GenPOPM,GenPOPF,GenPOP,PercGenPOP,PercGenPOPM,PercGenPOPF
0,AGE1,0-4,306345,293137,599482,0.051628699701414385,0.5110161772997355,0.4889838227002646,2658,1358,1300,1512,1601,,0,0,0,0.0,,
1,AGE2,5-9,335063,319795,654858,0.056397801817350345,0.5116574891045081,0.48834251089549185,2903,1485,1418,1225,1266,,219,193,412,0.0280768706555813,0.5315533980582524,0.4684466019417476
2,AGE3,10-14,349803,333582,683385,0.058854609388523875,0.5118681270440527,0.48813187295594723,3030,1551,1479,1042,1044,,507,437,944,0.0643314706283222,0.5370762711864406,0.4629237288135593
3,AGE4,15-19,332296,315251,647547,0.055768162522897735,0.5131612068313188,0.48683879316868117,2871,1473,1398,643,649,,824,755,1579,0.10760528826495842,0.5218492716909436,0.47815072830905636
4,AGE5,20-24,344442,330079,674521,0.05809122234078376,0.5106468145543281,0.4893531854456718,2990,1527,1463,460,407,,1120,1003,2123,0.1446776611694153,0.527555346208196,0.47244465379180406
5,AGE6,25-29,372166,363431,735597,0.0633512209111555,0.505937354285023,0.4940626457149771,3261,1650,1611,1153,1538,,112,458,570,0.03884421425650811,0.19649122807017544,0.8035087719298246
6,AGE7,30-34,387102,383016,770118,0.06632424485915148,0.5026528402140971,0.49734715978590294,3414,1716,1698,1429,1479,,237,269,506,0.034482758620689655,0.4683794466403162,0.5316205533596838
7,AGE8,35-39,377151,374510,751661,0.06473468769081446,0.5017567759934332,0.4982432240065668,3332,1672,1660,1671,2332,,0,0,0,0.0,,
8,AGE9,40-44,381554,375912,757466,0.06523462697467405,0.5037242595707266,0.4962757404292734,3358,1692,1666,1804,2389,,0,0,0,0.0,,
9,AGE10,45-49,379341,370587,749928,0.064585437944229,0.5058365603097897,0.49416343969021026,3325,1682,1643,1679,2272,,0,0,0,0.0,,
10,AGE11,50-54,397536,387689,785225,0.06762529270777623,0.5062701773377057,0.49372982266229426,3481,1762,1719,903,1040,,722,816,1538,0.10481123074826224,0.4694408322496749,0.5305591677503251
11,AGE12,55-59,404650,400400,805050,0.06933266502517782,0.5026395876032544,0.49736041239674555,3569,1794,1775,713,1006,,788,1062,1850,0.1260733269728772,0.4259459459459459,0.5740540540540541
12,AGE13,60-64,366907,375070,741977,0.0639006804513836,0.49449915563420427,0.5055008443657957,3289,1626,1663,669,968,,658,994,1652,0.11258007359956386,0.3983050847457627,0.6016949152542372
13,AGE14,65-69,310322,330001,640323,0.05514601585853914,0.48463353651204155,0.5153664634879584,2839,1376,1463,1142,1166,,210,321,531,0.03618645222843124,0.3954802259887006,0.6045197740112994
14,AGE15,70-74,264997,296145,561142,0.04832677512894644,0.47224588428597397,0.5277541157140261,2488,1175,1313,1163,1145,,30,150,180,0.012266593975739403,0.16666666666666666,0.8333333333333334
15,AGE16,75-79,182557,222398,404955,0.03487560942211153,0.450808114481856,0.549191885518144,1795,809,986,1065,1148,,0,0,0,0.0,,
16,AGE17,80-84,129136,182116,311252,0.026805702322112473,0.4148921131430481,0.5851078868569519,1380,573,807,76,9,,564,731,1295,0.08825132888101404,0.4355212355212355,0.5644787644787644
17,AGE18,85-89,78446,135580,214026,0.018432386764398123,0.36652556231485894,0.6334744376851411,949,348,601,0,0,,348,601,949,0.06467220934987052,0.3667017913593256,0.6332982086406744
18,AGE19,90-94,29167,67861,97028,0.008356263365086583,0.300603949375438,0.699396050624562,430,129,301,0,0,,129,301,430,0.029303530053155242,0.3,0.7
19,AGE20,95-99,5462,18123,23585,0.0020311917329592184,0.23158787364850542,0.7684121263514946,105,24,81,0,0,,24,81,105,0.007155513152514652,0.22857142857142856,0.7714285714285715
20,AGE21,100+,395,1889,2284,0.0001967030705142614,0.17294220665499124,0.8270577933450087,10,2,8,0,0,,2,8,10,0.0006814774430966335,0.2,0.8
