,AgeGroup,Age,M_x,F_x,AccPOP,PercPOP,PercPOPM,PercPOPF,ExpPOP,ExpPOPM,ExpPOPF,F_y,M_y,X,GenPOPM,GenPOPF,GenPOP,PercGenPOP,PercGenPOPM,PercGenPOPF
0,AGE1,0-4,157261,148865,306126,0.04445721780995711,0.5137133075922986,0.4862866924077014,1510,776,734,931,907,,0,0,0,0.0,,
1,AGE2,5-9,164297,155278,319575,0.046410351886533786,0.5141109285770163,0.48588907142298365,1576,810,766,739,760,,50,27,77,0.008217716115261472,0.6493506493506493,0.35064935064935066
2,AGE3,10-14,174196,163761,337957,0.04907988200740765,0.5154383545835712,0.4845616454164287,1667,859,808,617,646,,213,191,404,0.04311632870864461,0.5272277227722773,0.47277227722772275
3,AGE4,15-19,163258,151902,315160,0.04576918250977075,0.5180162457164614,0.4819837542835385,1554,805,749,440,413,,392,309,701,0.07481323372465315,0.5592011412268189,0.44079885877318115
4,AGE5,20-24,156644,146055,302699,0.043959530957371165,0.5174909728806504,0.48250902711934957,1493,773,720,382,338,,435,338,773,0.08249733191035219,0.5627425614489003,0.4372574385510996
5,AGE6,25-29,181524,169826,351350,0.05102488347127793,0.5166472178739149,0.4833527821260851,1733,895,838,663,891,,4,175,179,0.01910352187833511,0.0223463687150838,0.9776536312849162
6,AGE7,30-34,236627,224063,460690,0.0669038097805124,0.5136360676376739,0.48636393236232606,2272,1167,1105,804,869,,298,301,599,0.0639274279615795,0.4974958263772955,0.5025041736227045
7,AGE8,35-39,247585,230163,477748,0.0693810617009708,0.5182334619925149,0.4817665380074851,2356,1221,1135,985,1390,,0,150,150,0.016008537886873,0.0,1.0
8,AGE9,40-44,265262,248824,514086,0.07465825599605917,0.5159875974058815,0.4840124025941185,2536,1309,1227,1123,1353,,0,104,104,0.011099252934898612,0.0,1.0
9,AGE10,45-49,269904,255791,525695,0.07634417565514004,0.5134231826439285,0.4865768173560715,2593,1331,1262,984,1364,,0,278,278,0.02966915688367129,0.0,1.0
10,AGE11,50-54,250078,242679,492757,0.07156074713151132,0.5075077573733098,0.4924922426266902,2430,1233,1197,677,797,,436,520,956,0.10202774813233724,0.4560669456066946,0.5439330543933054
11,AGE12,55-59,230299,235408,465707,0.06763240474386917,0.4945147914890693,0.5054852085109307,2297,1136,1161,533,702,,434,628,1062,0.11334044823906084,0.4086629001883239,0.591337099811676
12,AGE13,60-64,224464,247959,472423,0.06860773736772886,0.4751335138213,0.5248664861787,2330,1107,1223,530,759,,348,693,1041,0.11109925293489861,0.33429394812680113,0.6657060518731989
13,AGE14,65-69,205156,252223,457379,0.06642296905424686,0.44854704741581924,0.5514529525841807,2256,1012,1244,775,787,,225,469,694,0.07406616862326575,0.3242074927953891,0.6757925072046109
14,AGE15,70-74,172298,248906,421204,0.06116944647114317,0.40906069268098116,0.5909393073190188,2077,850,1227,812,830,,20,415,435,0.046424759871931696,0.04597701149425287,0.9540229885057471
15,AGE16,75-79,113690,186782,300472,0.043636114377065105,0.37837136238984,0.62162863761016,1482,561,921,744,784,,0,177,177,0.01889007470651014,0.0,1.0
16,AGE17,80-84,71214,131465,202679,0.02943410376284372,0.3513634861036417,0.6486365138963582,1000,351,649,48,13,,338,601,939,0.10021344717182497,0.3599574014909478,0.6400425985090522
17,AGE18,85-89,40637,79973,120610,0.017515614616396277,0.33692894453196254,0.6630710554680375,595,200,395,0,0,,200,395,595,0.06350053361792957,0.33613445378151263,0.6638655462184874
18,AGE19,90-94,12744,23287,36031,0.005232610150430099,0.3536954289361938,0.6463045710638061,178,63,115,0,0,,63,115,178,0.018996798292422627,0.3539325842696629,0.6460674157303371
19,AGE20,95-99,2060,3111,5171,0.0007509596482993545,0.39837555598530267,0.6016244440146974,26,10,16,0,0,,10,16,26,0.002774813233724653,0.38461538461538464,0.6153846153846154
20,AGE21,100+,150,187,337,4.894090146526445e-05,0.44510385756676557,0.5548961424332344,2,1,1,0,0,,1,1,2,0.00021344717182497332,0.5,0.5
