,AgeGroup,Age,M_x,F_x,AccPOP,PercPOP,PercPOPM,PercPOPF,ExpPOP,ExpPOPM,ExpPOPF,F_y,M_y,X,GenPOPM,GenPOPF,GenPOP,PercGenPOP,PercGenPOPM,PercGenPOPF
0,AGE1,0-4,281969,268612,550581,0.05238270568960891,0.5121299136730109,0.48787008632698914,2518,1290,1228,1814,1756,,0,0,0,0.0,,
1,AGE2,5-9,282248,268322,550570,0.05238165914103098,0.5126468932197541,0.4873531067802459,2518,1291,1227,1293,1276,,15,0,15,0.0011491611123879567,1.0,0.0
2,AGE3,10-14,297289,283588,580877,0.055265090754789865,0.5117933745009701,0.48820662549902993,2656,1359,1297,958,1030,,329,339,668,0.05117597487167701,0.49251497005988026,0.5074850299401198
3,AGE4,15-19,252351,238880,491231,0.04673610040777338,0.5137114717922933,0.48628852820770674,2247,1154,1093,634,665,,489,459,948,0.07262698230291886,0.5158227848101266,0.48417721518987344
4,AGE5,20-24,243699,230546,474245,0.04512003912188866,0.513867304874063,0.48613269512593704,2169,1115,1054,495,314,,801,559,1360,0.10419060752317474,0.5889705882352941,0.41102941176470587
5,AGE6,25-29,306590,288082,594672,0.05657755781229485,0.5155615196276266,0.48443848037237336,2720,1402,1318,1138,1623,,0,180,180,0.013789933348655482,0.0,1.0
6,AGE7,30-34,354492,333005,687497,0.06540900069833333,0.5156269772813554,0.4843730227186446,3144,1621,1523,1339,1598,,23,184,207,0.015858423350953804,0.1111111111111111,0.8888888888888888
7,AGE8,35-39,372340,348707,721047,0.06860097386102215,0.5163879747089996,0.48361202529100045,3298,1703,1595,1577,2258,,0,18,18,0.001378993334865548,0.0,1.0
8,AGE9,40-44,442999,415849,858848,0.08171146845988009,0.5158060564849659,0.4841939435150341,3928,2026,1902,1753,2361,,0,149,149,0.011415000383053705,0.0,1.0
9,AGE10,45-49,450573,427262,877835,0.0835179064461684,0.5132775521595744,0.48672244784042556,4015,2061,1954,1410,2194,,0,544,544,0.0416762430092699,0.0,1.0
10,AGE11,50-54,351671,338465,690136,0.0656600772162569,0.5095676794139126,0.4904323205860874,3156,1608,1548,775,824,,784,773,1557,0.11928292346586991,0.5035324341682723,0.4964675658317277
11,AGE12,55-59,334673,331474,666147,0.06337774504934952,0.5024011216743451,0.49759887832565486,3046,1530,1516,596,783,,747,920,1667,0.12771010495671492,0.4481103779244151,0.5518896220755849
12,AGE13,60-64,301285,316052,617337,0.05873392358673129,0.48803975786320924,0.5119602421367908,2823,1378,1445,566,821,,557,879,1436,0.1100130238259404,0.387883008356546,0.612116991643454
13,AGE14,65-69,310771,355849,666620,0.06342274663820055,0.46618913323932676,0.5338108667606732,3049,1421,1628,972,848,,573,656,1229,0.0941546004749866,0.4662327095199349,0.5337672904800651
14,AGE15,70-74,270413,343194,613607,0.05837904847803294,0.4406941250670217,0.5593058749329782,2806,1237,1569,1061,883,,354,508,862,0.06603845859189458,0.41067285382830626,0.5893271461716937
15,AGE16,75-79,172610,251925,424535,0.04039059095743972,0.4065860294204247,0.5934139705795753,1941,789,1152,913,813,,0,239,239,0.018309967057381443,0.0,1.0
16,AGE17,80-84,89917,154278,244195,0.023232902726163903,0.3682180224820328,0.6317819775179672,1117,411,706,48,14,,397,658,1055,0.0808243315712863,0.376303317535545,0.623696682464455
17,AGE18,85-89,43459,91964,135423,0.012884249824465262,0.32091299114626026,0.6790870088537397,619,199,420,0,0,,199,420,619,0.047422048571209685,0.32148626817447495,0.678513731825525
18,AGE19,90-94,14448,38593,53041,0.005046362102002333,0.2723930544295922,0.7276069455704078,243,66,177,0,0,,66,177,243,0.0186164100206849,0.2716049382716049,0.7283950617283951
19,AGE20,95-99,2493,9036,11529,0.0010968780504512527,0.21623731459797033,0.7837626854020296,53,11,42,0,0,,11,42,53,0.004060369263770781,0.20754716981132076,0.7924528301886793
20,AGE21,100+,133,634,767,7.297297811571783e-05,0.17340286831812254,0.8265971316818774,4,1,3,0,0,,1,3,4,0.00030644296330345516,0.25,0.75
