,AgeGroup,Age,M_x,F_x,AccPOP,PercPOP,PercPOPM,PercPOPF,ExpPOP,ExpPOPM,ExpPOPF,F_y,M_y,X,GenPOPM,GenPOPF,GenPOP,PercGenPOP,PercGenPOPM,PercGenPOPF
0,AGE1,0-4,159449,150845,310294,0.05300336577026671,0.5138642706594391,0.4861357293405609,1234,634,600,690,666,,0,0,0,0.0,,
1,AGE2,5-9,154277,146520,300797,0.05138112052955879,0.5128940780659381,0.4871059219340618,1197,614,583,567,566,,48,16,64,0.009612496245118654,0.75,0.25
2,AGE3,10-14,172053,163202,335255,0.057267118897918634,0.5132003996957539,0.486799600304246,1334,685,649,499,437,,248,150,398,0.05977771102433163,0.6231155778894473,0.3768844221105528
3,AGE4,15-19,175639,167642,343281,0.05863809292149679,0.5116478919602309,0.4883521080397692,1366,699,667,312,313,,386,355,741,0.11129468308801442,0.5209176788124157,0.47908232118758437
4,AGE5,20-24,191035,183122,374157,0.06391222623223679,0.510574438003298,0.4894255619967019,1488,760,728,203,160,,600,525,1125,0.16896966055872634,0.5333333333333333,0.4666666666666667
5,AGE6,25-29,206334,198331,404665,0.06912349903454458,0.5098884262291031,0.4901115737708969,1610,821,789,595,760,,61,194,255,0.03829978972664464,0.23921568627450981,0.7607843137254902
6,AGE7,30-34,190661,182728,373389,0.06378103908420438,0.5106229696107812,0.48937703038921876,1485,758,727,658,754,,4,69,73,0.010964253529588465,0.0547945205479452,0.9452054794520548
7,AGE8,35-39,167722,163221,330943,0.0565305577230284,0.5068002646981504,0.4931997353018496,1317,667,650,837,1060,,0,0,0,0.0,,
8,AGE9,40-44,175422,174422,349844,0.059759162260737186,0.5014292084471936,0.49857079155280637,1392,698,694,878,1061,,0,0,0,0.0,,
9,AGE10,45-49,195611,196010,391621,0.06689536731718183,0.49949057890154,0.50050942109846,1558,778,780,759,989,,0,21,21,0.0031541003304295582,0.0,1.0
10,AGE11,50-54,199699,197885,397584,0.06791394669702192,0.5022812789247052,0.4977187210752948,1582,795,787,360,424,,371,427,798,0.11985581255632322,0.4649122807017544,0.5350877192982456
11,AGE12,55-59,204320,202984,407304,0.06957428403930695,0.5016400526388153,0.4983599473611848,1620,813,807,317,355,,458,490,948,0.14238510063082008,0.4831223628691983,0.5168776371308017
12,AGE13,60-64,172822,175699,348521,0.0595331719002595,0.4958725586119631,0.5041274413880369,1386,687,699,309,438,,249,390,639,0.09597476719735656,0.38967136150234744,0.6103286384976526
13,AGE14,65-69,156865,164417,321282,0.054880298560084396,0.488247085115257,0.511752914884743,1278,624,654,534,477,,147,120,267,0.04010213277260439,0.550561797752809,0.449438202247191
14,AGE15,70-74,149990,162505,312495,0.053379333104666846,0.4799756796108738,0.5200243203891263,1243,597,646,555,493,,104,91,195,0.0292880744968459,0.5333333333333333,0.4666666666666667
15,AGE16,75-79,124502,141434,265936,0.04542628307180173,0.46816527284760245,0.5318347271523975,1058,495,563,533,492,,3,30,33,0.0049564433763893065,0.09090909090909091,0.9090909090909091
16,AGE17,80-84,69385,88175,157560,0.026913863338521603,0.44037192180756535,0.5596280781924347,627,276,351,31,10,,266,320,586,0.08801441874436768,0.4539249146757679,0.5460750853242321
17,AGE18,85-89,32985,50653,83638,0.014286758707205317,0.3943781534709104,0.6056218465290897,333,131,202,0,0,,131,202,333,0.050015019525382995,0.3933933933933934,0.6066066066066066
18,AGE19,90-94,11121,23806,34927,0.00596611135329109,0.31840696309445415,0.6815930369055458,139,44,95,0,0,,44,95,139,0.020877140282367077,0.31654676258992803,0.6834532374100719
19,AGE20,95-99,2083,7395,9478,0.0016189997253269089,0.21977210381937118,0.7802278961806288,38,8,30,0,0,,8,30,38,0.005707419645539201,0.21052631578947367,0.7894736842105263
20,AGE21,100+,178,1083,1261,0.0002153997313396531,0.14115781126090404,0.8588421887390959,5,1,4,0,0,,1,4,5,0.0007509762691498949,0.2,0.8
