,AgeGroup,Age,M_x,F_x,AccPOP,PercPOP,PercPOPM,PercPOPF,ExpPOP,ExpPOPM,ExpPOPF,F_y,M_y,X,GenPOPM,GenPOPF,GenPOP,PercGenPOP,PercGenPOPM,PercGenPOPF
0,AGE1,0-4,36409,34271,70680,0.05319525246671534,0.5151245048104132,0.4848754951895869,337,174,163,213,245,,0,0,0,0.0,,
1,AGE2,5-9,36560,34715,71275,0.05364306196328715,0.5129428270782181,0.48705717292178186,339,174,165,138,141,,33,27,60,0.03498542274052478,0.55,0.45
2,AGE3,10-14,39412,37460,76872,0.05785548171507274,0.5126964304298054,0.4873035695701946,366,188,178,104,105,,83,74,157,0.09154518950437318,0.5286624203821656,0.4713375796178344
3,AGE4,15-19,33751,32131,65882,0.04958417689604046,0.5122947087216538,0.4877052912783461,314,161,153,96,94,,67,57,124,0.07230320699708455,0.5403225806451613,0.4596774193548387
4,AGE5,20-24,32118,30377,62495,0.04703504956009302,0.5139291143291463,0.48607088567085366,298,153,145,74,84,,69,71,140,0.08163265306122448,0.4928571428571429,0.5071428571428571
5,AGE6,25-29,38617,35853,74470,0.05604768606672738,0.5185578085134954,0.48144219148650463,355,184,171,178,187,,0,0,0,0.0,,
6,AGE7,30-34,52889,47380,100269,0.07546455531388059,0.5274711027336465,0.4725288972663535,478,252,226,217,229,,23,9,32,0.018658892128279883,0.71875,0.28125
7,AGE8,35-39,50457,46546,97003,0.07300649511925279,0.5201591703349381,0.4798408296650619,462,240,222,233,264,,0,0,0,0.0,,
8,AGE9,40-44,47218,44200,91418,0.0688031068194989,0.5165065960751712,0.4834934039248288,435,225,210,283,261,,0,0,0,0.0,,
9,AGE10,45-49,46359,44747,91106,0.0685682890666747,0.5088468377494347,0.49115316225056527,434,221,213,215,227,,0,0,0,0.0,,
10,AGE11,50-54,42761,43748,86509,0.0651084903175308,0.4942953912309702,0.5057046087690298,412,204,208,130,106,,98,78,176,0.10262390670553936,0.5568181818181818,0.4431818181818182
11,AGE12,55-59,40304,44022,84326,0.06346551866876397,0.477954604748239,0.522045395251761,402,192,210,96,76,,116,114,230,0.13411078717201166,0.5043478260869565,0.4956521739130435
12,AGE13,60-64,38684,47029,85713,0.064509403999428,0.45132010313488036,0.5486798968651196,408,184,224,94,84,,100,130,230,0.13411078717201166,0.43478260869565216,0.5652173913043478
13,AGE14,65-69,32956,45596,78552,0.0591198849995108,0.4195437417252266,0.5804562582747734,374,157,217,168,90,,67,49,116,0.06763848396501458,0.5775862068965517,0.4224137931034483
14,AGE15,70-74,25466,41369,66835,0.050301424711558,0.3810279045410339,0.6189720954589661,318,121,197,149,93,,28,48,76,0.044314868804664724,0.3684210526315789,0.631578947368421
15,AGE16,75-79,15455,29883,45338,0.03412233101776938,0.34088402664431605,0.659115973355684,216,74,142,163,81,,0,0,0,0.0,,
16,AGE17,80-84,12451,30771,43222,0.032529784976179546,0.28807088982462636,0.7119291101753736,206,59,147,4,4,,55,143,198,0.11545189504373178,0.2777777777777778,0.7222222222222222
17,AGE18,85-89,5748,17891,23639,0.01779120788144714,0.24315749397182623,0.7568425060281738,113,27,86,0,0,,27,86,113,0.06588921282798833,0.23893805309734514,0.7610619469026548
18,AGE19,90-94,2189,8448,10637,0.00800562960509976,0.20579110651499483,0.7942088934850051,51,10,41,0,0,,10,41,51,0.029737609329446066,0.19607843137254902,0.803921568627451
19,AGE20,95-99,344,1929,2273,0.0017107075390045835,0.1513418389793225,0.8486581610206775,11,2,9,0,0,,2,9,11,0.00641399416909621,0.18181818181818182,0.8181818181818182
20,AGE21,100+,18,158,176,0.00013246129646493916,0.10227272727272728,0.8977272727272727,1,0,1,0,0,,0,1,1,0.0005830903790087463,0.0,1.0
