Age,M,F
0-4,18737133,17767802
5-9,20912063,19815830
10-14,20885955,19820525
15-19,19763773,18707203
20-24,20323787,19151417
25-29,22363412,21415969
30-34,26086106,25474185
35-39,26493684,26405588
40-44,26006834,26281189
45-49,25572613,26239323
50-54,25310274,26314322
55-59,24852759,26795354
60-64,23000299,26350260
65-69,19239080,23748112
70-74,15911052,20804321
75-79,10291284,14293372
80-84,7956459,13351344
85-89,4088211,7835178
90-94,1556847,3785427
95-99,300743,1017010
100+,27120,120542
