,AgeGroup,Age,M_x,F_x,AccPOP,PercPOP,PercPOPM,PercPOPF,ExpPOP,ExpPOPM,ExpPOPF,F_y,M_y,X,GenPOPM,GenPOPF,GenPOP,PercGenPOP,PercGenPOPM,PercGenPOPF
0,AGE1,0-4,1740068,1667842,3407910,0.0528100753871338,0.5105968174042155,0.4894031825957845,15860,8098,7762,8795,8965,,0,0,0,0.0,,
1,AGE2,5-9,1941959,1859517,3801476,0.05890890139187357,0.5108434197664276,0.48915658023357245,17692,9038,8654,7248,7034,,2004,1406,3410,0.04030923447917159,0.587683284457478,0.41231671554252197
2,AGE3,10-14,2046976,1954927,4001903,0.06201478299661579,0.5115006535640669,0.4884993464359331,18625,9527,9098,5943,5816,,3711,3155,6866,0.08116222989266632,0.5404893678997961,0.45951063210020393
3,AGE4,15-19,2005071,1903849,3908920,0.060573888360395386,0.5129475660796332,0.48705243392036673,18192,9332,8860,3843,3906,,5426,5017,10443,0.12344555298122843,0.5195824954514986,0.4804175045485014
4,AGE5,20-24,1871821,1808498,3680319,0.057031413340933555,0.5086029227357737,0.49139707726422627,17128,8711,8417,3218,2306,,6405,5199,11604,0.13716960612794932,0.5519648397104446,0.4480351602895553
5,AGE6,25-29,1724891,1751487,3476378,0.053871077655857524,0.4961747542988708,0.5038252457011292,16179,8028,8151,6856,9342,,0,1295,1295,0.015308052390183933,0.0,1.0
6,AGE7,30-34,1867264,1961691,3828955,0.05933472486184873,0.4876693510370323,0.5123306489629676,17820,8690,9130,7988,9346,,0,1142,1142,0.013499456239065677,0.0,1.0
7,AGE8,35-39,1950754,2062206,4012960,0.06218612584415447,0.4861134922849966,0.5138865077150034,18676,9079,9597,9522,12930,,0,75,75,0.0008865667407442433,0.0,1.0
8,AGE9,40-44,1991117,2059956,4051073,0.0627767372168814,0.4915036090438262,0.5084963909561738,18854,9267,9587,10040,13302,,0,0,0,0.0,,
9,AGE10,45-49,2095493,2136813,4232306,0.06558518239079632,0.4951185004108871,0.5048814995891129,19697,9752,9945,9051,12889,,0,894,894,0.010567875549671379,0.0,1.0
10,AGE11,50-54,2086479,2145484,4231963,0.06557986715187927,0.4930286488799642,0.5069713511200358,19695,9710,9985,5505,6113,,3597,4480,8077,0.0954773275332167,0.44533861582270645,0.5546613841772936
11,AGE12,55-59,2036292,2143645,4179937,0.0647736554320595,0.487158538513858,0.5128414614861421,19453,9477,9976,4287,5935,,3542,5689,9231,0.10911863445080146,0.3837070739898169,0.616292926010183
12,AGE13,60-64,1893685,2063449,3957134,0.061321028095516115,0.47854962707858767,0.5214503729214123,18416,8813,9603,4220,5728,,3085,5383,8468,0.10009929547496335,0.36431270666036847,0.6356872933396316
13,AGE14,65-69,1763693,1991270,3754963,0.05818812090281084,0.4696965056646364,0.5303034943353636,17475,8208,9267,7277,7413,,795,1990,2785,0.032921178306302895,0.28545780969479356,0.7145421903052065
14,AGE15,70-74,1669563,1943449,3613012,0.05598840230364624,0.46209727507132553,0.5379027249286744,16815,7770,9045,7359,7408,,362,1686,2048,0.024209182467256136,0.1767578125,0.8232421875
15,AGE16,75-79,1044520,1297545,2342065,0.03629339660130917,0.4459824983508143,0.5540175016491856,10900,4861,6039,6687,7330,,0,0,0,0.0,,
16,AGE17,80-84,738759,1049807,1788566,0.027716197110505957,0.41304542298131575,0.5869545770186843,8324,3438,4886,539,52,,3386,4347,7733,0.09141094141566977,0.4378637010215958,0.5621362989784042
17,AGE18,85-89,477906,855240,1333146,0.020658861519833528,0.3584798664212322,0.6415201335787678,6204,2224,3980,0,0,,2224,3980,6204,0.0733368007943638,0.3584784010315925,0.6415215989684074
18,AGE19,90-94,199854,490559,690413,0.010698863109136453,0.2894702156535291,0.7105297843464708,3213,930,2283,0,0,,930,2283,3213,0.03798051917348338,0.28944911297852477,0.7105508870214753
19,AGE20,95-99,45021,166104,211125,0.003271661272189883,0.21324333925399644,0.7867566607460036,983,210,773,0,0,,210,773,983,0.011619934748687881,0.2136317395727365,0.7863682604272635
20,AGE21,100+,4041,22871,26912,0.0004170370546224944,0.1501560642092747,0.8498439357907254,125,19,106,0,0,,19,106,125,0.0014776112345737387,0.152,0.848
