,AgeGroup,Age,M_x,F_x,AccPOP,PercPOP,PercPOPM,PercPOPF,ExpPOP,ExpPOPM,ExpPOPF,F_y,M_y,X,GenPOPM,GenPOPF,GenPOP,PercGenPOP,PercGenPOPM,PercGenPOPF
0,AGE1,0-4,1873875,1777778,3651653,0.05427463066892155,0.5131580136447795,0.4868419863552205,16089,8256,7833,10259,10269,,0,0,0,0.0,,
1,AGE2,5-9,2105436,2001399,4106835,0.06104001471202231,0.512666323336584,0.487333676663416,18095,9277,8818,7391,7349,,1928,1427,3355,0.03929813875581273,0.5746646795827124,0.4253353204172876
2,AGE3,10-14,2114031,2010125,4124156,0.06129745726689168,0.5125972441391645,0.48740275586083553,18171,9314,8857,5897,5850,,3464,2960,6424,0.07524627224063814,0.539227895392279,0.46077210460772106
3,AGE4,15-19,1925168,1826298,3751466,0.05575815435284142,0.5131775151367493,0.4868224848632508,16529,8482,8047,3932,3894,,4588,4115,8703,0.10194089466224684,0.5271745375157991,0.4728254624842009
4,AGE5,20-24,2074288,1956868,4031156,0.05991519541117601,0.5145640605325122,0.48543593946748775,17761,9139,8622,2795,2570,,6569,5827,12396,0.14519813055649913,0.5299290093578574,0.47007099064214264
5,AGE6,25-29,2271212,2170464,4441676,0.06601676677685771,0.5113412144424763,0.4886587855575238,19570,10007,9563,7280,8300,,1707,2283,3990,0.04673608752181603,0.42781954887218043,0.5721804511278196
6,AGE7,30-34,2286283,2265638,4551921,0.06765534159710905,0.5022677238906387,0.4977322761093613,20056,10073,9983,8348,8856,,1217,1635,2852,0.03340634626872665,0.4267180925666199,0.57328190743338
7,AGE8,35-39,2186853,2229637,4416490,0.06564242648548077,0.49515633455526903,0.504843665444731,19459,9635,9824,10526,12969,,0,0,0,0.0,,
8,AGE9,40-44,2079216,2113065,4192281,0.06231000123378018,0.4959629375988871,0.5040370624011129,18471,9161,9310,10898,12801,,0,0,0,0.0,,
9,AGE10,45-49,2061989,2110739,4172728,0.062019384394373635,0.4941584977501529,0.5058415022498471,18385,9085,9300,10050,12502,,0,0,0,0.0,,
10,AGE11,50-54,2250909,2330347,4581256,0.06809134860288775,0.4913301068527932,0.5086698931472068,20185,9917,10268,5242,5417,,4500,5026,9526,0.11158094479519286,0.47239134998950244,0.5276086500104976
11,AGE12,55-59,2234949,2322902,4557851,0.0677434793691993,0.49035148362682324,0.5096485163731768,20082,9847,10235,4128,5105,,4742,6107,10849,0.12707764749979503,0.43709097612683195,0.562909023873168
12,AGE13,60-64,1944438,2030178,3974616,0.059074839655023706,0.4892140523763805,0.5107859476236195,17512,8567,8945,4152,4917,,3650,4793,8443,0.09889543532498565,0.4323107900035532,0.5676892099964468
13,AGE14,65-69,1642425,1751631,3394056,0.05044595854798832,0.48391216880334326,0.5160878311966568,14954,7236,7718,6730,6146,,1090,988,2078,0.024340248087802937,0.5245428296438883,0.4754571703561116
14,AGE15,70-74,1592429,1743762,3336191,0.049585909276149746,0.47731949399779566,0.5226805060022043,14699,7016,7683,6683,5969,,1047,1000,2047,0.023977135628360253,0.5114802149487054,0.48851978505129456
15,AGE16,75-79,1181553,1361231,2542784,0.03779347667230238,0.4646690399184516,0.5353309600815485,11203,5206,5997,6214,6010,,0,0,0,0.0,,
16,AGE17,80-84,758159,963616,1721775,0.025590794694890888,0.4403357000769555,0.5596642999230446,7586,3340,4246,380,128,,3212,3866,7078,0.08290677380436438,0.4538005086182537,0.5461994913817463
17,AGE18,85-89,435843,637676,1073519,0.015955745861140146,0.4059946773182403,0.5940053226817598,4730,1920,2810,0,0,,1920,2810,4730,0.055403933327867125,0.4059196617336152,0.5940803382663847
18,AGE19,90-94,175102,319465,494567,0.007350764507481002,0.3540511194640969,0.6459488805359032,2179,771,1408,0,0,,771,1408,2179,0.025523291907277475,0.3538320330426801,0.6461679669573198
19,AGE20,95-99,40277,102948,143225,0.0021287575729556692,0.2812148717053587,0.7187851282946413,631,177,454,0,0,,177,454,631,0.007391095545430054,0.2805071315372425,0.7194928684627575
20,AGE21,100+,4143,16684,20827,0.0003095523405267776,0.1989244730398041,0.8010755269601959,92,18,74,0,0,,18,74,92,0.0010776240731847305,0.1956521739130435,0.8043478260869565
