,AgeGroup,Age,M_x,F_x,AccPOP,PercPOP,PercPOPM,PercPOPF,ExpPOP,ExpPOPM,ExpPOPF,F_y,M_y,X,GenPOPM,GenPOPF,GenPOP,PercGenPOP,PercGenPOPM,PercGenPOPF
0,AGE1,0-4,134881,126244,261125,0.06948567164870173,0.5165380564863571,0.4834619435136429,1171,605,566,438,424,,181,128,309,0.046529137178135824,0.5857605177993528,0.41423948220064727
1,AGE2,5-9,144471,134532,279003,0.0742430286146586,0.5178116364340168,0.48218836356598316,1251,648,603,435,388,,260,168,428,0.064448125282337,0.6074766355140186,0.3925233644859813
2,AGE3,10-14,130455,122136,252591,0.06721476414520716,0.5164673325652933,0.4835326674347067,1133,585,548,344,336,,249,204,453,0.06821261858153893,0.5496688741721855,0.4503311258278146
3,AGE4,15-19,109514,100387,209901,0.05585490460405607,0.5217412018046603,0.47825879819533973,941,491,450,280,258,,233,170,403,0.06068363198313507,0.5781637717121588,0.4218362282878412
4,AGE5,20-24,112016,103136,215152,0.057252201920771566,0.5206365732133561,0.47936342678664384,965,502,463,185,196,,306,278,584,0.08793856346935702,0.523972602739726,0.476027397260274
5,AGE6,25-29,124311,120662,244973,0.06518760532617486,0.5074477595490116,0.4925522404509885,1099,558,541,222,264,,294,319,613,0.09230537569643125,0.4796084828711256,0.5203915171288744
6,AGE7,30-34,141289,142847,284136,0.07560892599167263,0.49725835515386996,0.50274164484613,1274,634,640,237,235,,399,403,802,0.12076494503839783,0.4975062344139651,0.5024937655860349
7,AGE8,35-39,131343,138408,269751,0.0717810604611161,0.4869045897883604,0.5130954102116396,1210,589,621,395,497,,92,226,318,0.047884354765848514,0.2893081761006289,0.710691823899371
8,AGE9,40-44,117760,128068,245828,0.06541512183841858,0.4790341214182274,0.5209658785817726,1102,528,574,446,532,,0,128,128,0.01927420569191387,0.0,1.0
9,AGE10,45-49,112027,125223,237250,0.06313250588283192,0.4721896733403583,0.5278103266596418,1064,502,562,412,520,,0,150,150,0.022586959795211563,0.0,1.0
10,AGE11,50-54,105476,122640,228116,0.06070193766899088,0.46237878973855406,0.5376212102614459,1023,473,550,287,302,,171,263,434,0.06535160367414546,0.39400921658986177,0.6059907834101382
11,AGE12,55-59,109380,137441,246821,0.06567936031404198,0.4431551610276273,0.5568448389723727,1107,491,616,224,296,,195,392,587,0.08839030266526125,0.3321976149914821,0.6678023850085179
12,AGE13,60-64,101606,134680,236286,0.06287598434154193,0.43001278112118363,0.5699872188788163,1060,456,604,218,287,,169,386,555,0.08357175124228279,0.3045045045045045,0.6954954954954955
13,AGE14,65-69,77081,113548,190629,0.05072660258772757,0.4043508595229477,0.5956491404770523,855,346,509,313,312,,34,196,230,0.03463333835265773,0.14782608695652175,0.8521739130434782
14,AGE15,70-74,53941,90385,144326,0.03840531946910685,0.3737441625209595,0.6262558374790405,647,242,405,340,300,,0,65,65,0.00978768257792501,0.0,1.0
15,AGE16,75-79,26892,52968,79860,0.021250840547114676,0.3367392937640872,0.6632607062359128,358,121,237,302,289,,0,0,0,0.0,,
16,AGE17,80-84,23923,60049,83972,0.022345048615355793,0.28489258324203304,0.715107416757967,377,107,270,7,5,,102,263,365,0.05496160216834814,0.27945205479452057,0.7205479452054795
17,AGE18,85-89,8389,26762,35151,0.009353722715647734,0.23865608375295155,0.7613439162470484,158,38,120,0,0,,38,120,158,0.023791597650956182,0.24050632911392406,0.759493670886076
18,AGE19,90-94,1966,9304,11270,0.0029989603426744606,0.17444543034605148,0.8255545696539486,51,9,42,0,0,,9,42,51,0.007679566330371932,0.17647058823529413,0.8235294117647058
19,AGE20,95-99,163,1557,1720,0.000457694036326537,0.09476744186046511,0.9052325581395348,8,1,7,0,0,,1,7,8,0.0012046378557446168,0.125,0.875
20,AGE21,100+,4,104,108,2.8738927862363953e-05,0.037037037037037035,0.9629629629629629,0,0,0,0,0,,0,0,0,0.0,,
