,AgeGroup,Age,M_x,F_x,AccPOP,PercPOP,PercPOPM,PercPOPF,ExpPOP,ExpPOPM,ExpPOPF,F_y,M_y,X,GenPOPM,GenPOPF,GenPOP,PercGenPOP,PercGenPOPM,PercGenPOPF
0,AGE1,0-4,240777,227634,468411,0.048241169699365906,0.5140293460230438,0.48597065397695616,2181,1121,1060,1321,1347,,0,0,0,0.0,,
1,AGE2,5-9,237343,224335,461678,0.047547744917313756,0.5140877408063629,0.4859122591936371,2150,1105,1045,1033,980,,125,12,137,0.011268300707353183,0.9124087591240876,0.08759124087591241
2,AGE3,10-14,247374,235645,483019,0.04974563267518914,0.5121413443363512,0.48785865566364883,2249,1152,1097,885,849,,303,212,515,0.042358940615232765,0.5883495145631068,0.4116504854368932
3,AGE4,15-19,251797,238019,489816,0.05044564875176845,0.5140644650236007,0.4859355349763993,2281,1173,1108,577,584,,589,531,1120,0.09212041454186544,0.5258928571428572,0.47410714285714284
4,AGE5,20-24,266818,250571,517389,0.0532853638142256,0.5157009522815522,0.48429904771844784,2409,1242,1167,444,323,,919,723,1642,0.13505510774798488,0.5596833130328868,0.4403166869671133
5,AGE6,25-29,317671,297721,615392,0.06337859252586336,0.5162091804898341,0.4837908195101659,2865,1479,1386,839,1202,,277,547,824,0.06777430498437242,0.33616504854368934,0.6638349514563107
6,AGE7,30-34,323899,302283,626182,0.06448984358755099,0.5172601575899659,0.48273984241003415,2916,1508,1408,1055,1063,,445,353,798,0.06563579536107912,0.5576441102756893,0.4423558897243108
7,AGE8,35-39,320442,307038,627480,0.06462352327967985,0.5106808185121439,0.4893191814878562,2922,1492,1430,1450,2001,,0,0,0,0.0,,
8,AGE9,40-44,394855,385105,779960,0.08032728249062775,0.5062503205292579,0.4937496794707421,3632,1839,1793,1581,2005,,0,212,212,0.0174370784668531,0.0,1.0
9,AGE10,45-49,404946,396931,801877,0.08258449189924753,0.504997649265411,0.495002350734589,3734,1886,1848,1385,1874,,12,463,475,0.03906892581016615,0.02526315789473684,0.9747368421052631
10,AGE11,50-54,344270,347862,692132,0.07128196661983072,0.49740511925470865,0.5025948807452914,3223,1603,1620,947,1082,,521,673,1194,0.09820694193123869,0.43634840871021774,0.5636515912897823
11,AGE12,55-59,273000,293817,566817,0.058375902968729354,0.4816369304378662,0.5183630695621338,2639,1271,1368,778,1005,,266,590,856,0.07040631682842573,0.3107476635514019,0.6892523364485982
12,AGE13,60-64,272225,324676,596901,0.06147422335240037,0.45606390339436526,0.5439360966056348,2779,1267,1512,701,971,,296,811,1107,0.09105115973021878,0.26738934056007224,0.7326106594399278
13,AGE14,65-69,283608,374531,658139,0.06778106232511828,0.430924166475471,0.5690758335245291,3064,1320,1744,1102,953,,367,642,1009,0.08299062345780556,0.36372646184340934,0.6362735381565907
14,AGE15,70-74,205671,303426,509097,0.05243137921705102,0.40399177366985073,0.5960082263301493,2370,957,1413,1164,944,,13,249,262,0.02154959697318638,0.04961832061068702,0.950381679389313
15,AGE16,75-79,136875,233543,370418,0.03814897087749801,0.369514980373524,0.6304850196264761,1725,637,1088,1097,901,,0,0,0,0.0,,
16,AGE17,80-84,78493,166815,245308,0.025264019966678947,0.31997733461607447,0.6800226653839255,1142,365,777,56,9,,356,721,1077,0.08858364862641882,0.3305478180129991,0.669452181987001
17,AGE18,85-89,37102,94403,131505,0.013543565418649676,0.28213375917265504,0.717866240827345,612,173,439,0,0,,173,439,612,0.05033722651751933,0.2826797385620915,0.7173202614379085
18,AGE19,90-94,14464,41549,56013,0.005768721567961859,0.25822576901790656,0.7417742309820935,261,67,194,0,0,,67,194,261,0.021467346603059715,0.2567049808429119,0.7432950191570882
19,AGE20,95-99,2441,8781,11222,0.001155742299745916,0.21751915879522365,0.7824808412047763,52,11,41,0,0,,11,41,52,0.00427701924658661,0.21153846153846154,0.7884615384615384
20,AGE21,100+,209,812,1021,0.00010515174550352702,0.20470127326150833,0.7952987267384917,5,1,4,0,0,,1,4,5,0.00041125185063332784,0.2,0.8
