,AgeGroup,Age,M_x,F_x,AccPOP,PercPOP,PercPOPM,PercPOPF,ExpPOP,ExpPOPM,ExpPOPF,F_y,M_y,X,GenPOPM,GenPOPF,GenPOP,PercGenPOP,PercGenPOPM,PercGenPOPF
0,AGE1,0-4,155815,148874,304689,0.06110260594876501,0.5113903028990217,0.4886096971009784,1287,658,629,854,862,,0,0,0,0.0,,
1,AGE2,5-9,170103,161701,331804,0.06654027242277871,0.5126610890766838,0.48733891092331616,1401,718,683,640,576,,142,43,185,0.031377204884667574,0.7675675675675676,0.23243243243243245
2,AGE3,10-14,182399,174081,356480,0.07148881964434473,0.5116668536804309,0.48833314631956914,1505,770,735,460,512,,258,275,533,0.09040027137042063,0.48405253283302063,0.5159474671669794
3,AGE4,15-19,166313,159880,326193,0.06541503743898042,0.5098607266250349,0.4901392733749651,1378,703,675,311,342,,361,364,725,0.12296472184531886,0.4979310344827586,0.5020689655172413
4,AGE5,20-24,159758,155038,314796,0.06312947281407412,0.5074969186393729,0.4925030813606272,1329,674,655,200,227,,447,455,902,0.15298507462686567,0.4955654101995565,0.5044345898004434
5,AGE6,25-29,146076,143042,289118,0.05797998361179774,0.5052469925774251,0.4947530074225749,1221,617,604,647,611,,6,0,6,0.0010176390773405698,1.0,0.0
6,AGE7,30-34,153034,158518,311552,0.06247891813800182,0.49119890098603125,0.5088010990139687,1316,646,670,685,645,,1,0,1,0.00016960651289009497,1.0,0.0
7,AGE8,35-39,177050,191638,368688,0.0739370229382691,0.4802163346786443,0.5197836653213558,1557,748,809,696,857,,0,113,113,0.019165535956580732,0.0,1.0
8,AGE9,40-44,195732,203828,399560,0.08012812156949725,0.48986885574131545,0.5101311442586846,1687,826,861,754,851,,0,107,107,0.018147896879240163,0.0,1.0
9,AGE10,45-49,180943,184350,365293,0.073256186586461,0.49533662019255775,0.5046633798074422,1543,764,779,674,840,,0,105,105,0.01780868385345997,0.0,1.0
10,AGE11,50-54,160913,162002,322915,0.06475766437234509,0.49831379774863355,0.5016862022513665,1364,680,684,307,332,,348,377,725,0.12296472184531886,0.48,0.52
11,AGE12,55-59,144469,148831,293300,0.058818645651050015,0.492563927719059,0.507436072280941,1239,610,629,234,329,,281,395,676,0.11465400271370421,0.4156804733727811,0.584319526627219
12,AGE13,60-64,129606,133071,262677,0.05267748170365109,0.4934044472869722,0.5065955527130278,1109,547,562,215,333,,214,347,561,0.09514925373134328,0.38146167557932265,0.6185383244206774
13,AGE14,65-69,112768,115797,228565,0.04583663055994629,0.49337387614026645,0.5066261238597336,965,476,489,295,314,,162,194,356,0.060379918588873815,0.4550561797752809,0.5449438202247191
14,AGE15,70-74,94868,98848,193716,0.03884798077374294,0.48972722955254083,0.5102727704474591,818,401,417,317,356,,45,100,145,0.02459294436906377,0.3103448275862069,0.6896551724137931
15,AGE16,75-79,70269,76782,147051,0.029489739725988937,0.4778546218658833,0.5221453781341168,621,297,324,262,373,,0,62,62,0.01051560379918589,0.0,1.0
16,AGE17,80-84,40007,48461,88468,0.017741452244995203,0.45222001175566306,0.5477799882443369,374,169,205,18,6,,163,187,350,0.05936227951153324,0.4657142857142857,0.5342857142857143
17,AGE18,85-89,21083,31234,52317,0.010491698208407717,0.4029856452013686,0.5970143547986314,221,89,132,0,0,,89,132,221,0.03748303934871099,0.40271493212669685,0.5972850678733032
18,AGE19,90-94,7602,14040,21642,0.004340106134265341,0.3512614360964791,0.6487385639035209,91,32,59,0,0,,32,59,91,0.015434192672998642,0.3516483516483517,0.6483516483516484
19,AGE20,95-99,1873,4860,6733,0.0013502418723781784,0.2781820882221892,0.7218179117778107,28,8,20,0,0,,8,20,28,0.0047489823609226595,0.2857142857142857,0.7142857142857143
20,AGE21,100+,232,725,957,0.0001919176402593074,0.24242424242424243,0.7575757575757576,4,1,3,0,0,,1,3,4,0.0006784260515603799,0.25,0.75
