,AgeGroup,Age,M_x,F_x,AccPOP,PercPOP,PercPOPM,PercPOPF,ExpPOP,ExpPOPM,ExpPOPF,F_y,M_y,X,GenPOPM,GenPOPF,GenPOP,PercGenPOP,PercGenPOPM,PercGenPOPF
0,AGE1,0-4,11432,10570,22002,0.0594123571870266,0.5195891282610672,0.4804108717389328,1391,723,668,622,659,,64,46,110,0.016439994021820354,0.5818181818181818,0.41818181818181815
1,AGE2,5-9,11489,11101,22590,0.06100014311675897,0.5085878707392651,0.49141212926073485,1428,726,702,600,564,,162,102,264,0.03945598565236885,0.6136363636363636,0.38636363636363635
2,AGE3,10-14,12556,11839,24395,0.06587421387044423,0.5146956343513015,0.4853043656486985,1542,794,748,478,456,,338,270,608,0.09086833059333432,0.555921052631579,0.4440789473684211
3,AGE4,15-19,11416,10975,22391,0.060462780191560435,0.5098477066678576,0.4901522933321424,1415,721,694,306,309,,412,388,800,0.11956359288596623,0.515,0.485
4,AGE5,20-24,12814,12207,25021,0.06756461181604366,0.5121298109587946,0.4878701890412054,1582,810,772,202,177,,633,570,1203,0.1797937528022717,0.5261845386533666,0.47381546134663344
5,AGE6,25-29,15816,14130,29946,0.08086366913565579,0.5281506712081747,0.4718493287918253,1893,1000,893,567,725,,275,326,601,0.08982214915558212,0.45757071547420963,0.5424292845257903
6,AGE7,30-34,15833,13419,29252,0.07898964968797846,0.5412621359223301,0.4587378640776699,1849,1001,848,616,767,,234,232,466,0.06964579285607532,0.5021459227467812,0.4978540772532189
7,AGE8,35-39,13896,12203,26099,0.07047555268721967,0.5324341928809533,0.4675658071190467,1650,879,771,825,1073,,0,0,0,0.0,,
8,AGE9,40-44,13025,11847,24872,0.06716226470119652,0.5236812479897073,0.4763187520102927,1572,823,749,830,1089,,0,0,0,0.0,,
9,AGE10,45-49,12332,11394,23726,0.06406770232794261,0.5197673438421985,0.4802326561578016,1500,780,720,785,991,,0,0,0,0.0,,
10,AGE11,50-54,11099,10586,21685,0.05855635694939877,0.5118284528475905,0.4881715471524095,1371,702,669,410,452,,250,259,509,0.076072335973696,0.4911591355599214,0.5088408644400786
11,AGE12,55-59,11027,11128,22155,0.05982550556670186,0.49772060482960956,0.5022793951703904,1400,697,703,310,413,,284,393,677,0.10118069047974891,0.4194977843426883,0.5805022156573116
12,AGE13,60-64,10548,10374,20922,0.05649601568343653,0.5041583022655578,0.4958416977344422,1323,667,656,338,424,,243,318,561,0.08384396951128381,0.43315508021390375,0.5668449197860963
13,AGE14,65-69,8834,8883,17717,0.04784150223991229,0.49861714737258,0.50138285262742,1120,558,562,518,477,,81,44,125,0.018681811388432223,0.648,0.352
14,AGE15,70-74,7219,7208,14427,0.03895746191879069,0.5003812296388715,0.49961877036112845,912,456,456,542,496,,0,0,0,0.0,,
15,AGE16,75-79,4961,5304,10265,0.02771874586514081,0.48329274232830005,0.5167072576717,649,314,335,531,483,,0,0,0,0.0,,
16,AGE17,80-84,2938,3365,6303,0.017020093052896493,0.46612724099635094,0.5338727590036491,398,186,212,36,10,,176,176,352,0.05260798086982514,0.5,0.5
17,AGE18,85-89,1712,2346,4058,0.010957883168118987,0.4218827008378512,0.5781172991621488,257,108,149,0,0,,108,149,257,0.03840980421461665,0.42023346303501946,0.5797665369649806
18,AGE19,90-94,731,1282,2013,0.005435736524747048,0.3631395926477894,0.6368604073522106,127,46,81,0,0,,46,81,127,0.018980720370647138,0.36220472440944884,0.6377952755905512
19,AGE20,95-99,133,312,445,0.0012016407121273902,0.298876404494382,0.701123595505618,28,8,20,0,0,,8,20,28,0.004184725751008818,0.2857142857142857,0.7142857142857143
20,AGE21,100+,6,37,43,0.00011611359690219724,0.13953488372093023,0.8604651162790697,3,0,3,0,0,,0,3,3,0.00044836347332237334,0.0,1.0
