,AgeGroup,Age,M_x,F_x,AccPOP,PercPOP,PercPOPM,PercPOPF,ExpPOP,ExpPOPM,ExpPOPF,F_y,M_y,X,GenPOPM,GenPOPF,GenPOP,PercGenPOP,PercGenPOPM,PercGenPOPF
0,AGE1,0-4,1110310,1050608,2160918,0.03647714996267998,0.5138140364419196,0.4861859635580804,10111,5195,4916,5890,5898,,0,0,0,0.0,,
1,AGE2,5-9,1298439,1227049,2525488,0.04263123566231978,0.5141339020419023,0.4858660979580976,11817,6076,5741,6090,6139,,0,0,0,0.0,,
2,AGE3,10-14,1445890,1362695,2808585,0.04741002491900829,0.5148108389099849,0.4851891610900151,13141,6765,6376,5370,5529,,1236,1006,2242,0.025334192119506875,0.5512934879571811,0.4487065120428189
3,AGE4,15-19,1468556,1378436,2846992,0.04805835025972767,0.5158272309862479,0.48417276901375206,13321,6871,6450,3721,3731,,3140,2729,5869,0.06631863227002045,0.5350144828761288,0.4649855171238712
4,AGE5,20-24,1546478,1406260,2952738,0.04984338453680508,0.5237437253152837,0.4762562746847164,13816,7236,6580,2240,1964,,5272,4340,9612,0.10861385131699379,0.548481065334998,0.4515189346650021
5,AGE6,25-29,1577651,1479953,3057604,0.051613564066054406,0.5159762349866104,0.48402376501338956,14307,7382,6925,3762,4525,,2857,3163,6020,0.06802490479903274,0.47458471760797344,0.5254152823920266
6,AGE7,30-34,1651030,1602006,3253036,0.054912533472346765,0.5075351148895986,0.4924648851104015,15221,7725,7496,4836,4623,,3102,2660,5762,0.06510955173621705,0.5383547379382159,0.4616452620617841
7,AGE8,35-39,1740874,1724825,3465699,0.05850236896935008,0.5023154059253271,0.49768459407467297,16216,8146,8070,8719,11707,,0,0,0,0.0,,
8,AGE9,40-44,1972641,1974058,3946699,0.06662183908901638,0.499820482889625,0.500179517110375,18467,9230,9237,9783,12120,,0,0,0,0.0,,
9,AGE10,45-49,2313638,2342833,4656471,0.07860307099291616,0.4968651152342622,0.5031348847657379,21788,10826,10962,8837,11756,,0,2125,2125,0.02401211340497418,0.0,1.0
10,AGE11,50-54,2379297,2444921,4824218,0.08143470665645808,0.49319848315312453,0.5068015168468755,22573,11133,11440,4605,5645,,5488,6835,12323,0.1392476581127044,0.445346100787146,0.554653899212854
11,AGE12,55-59,2296648,2398060,4694708,0.07924852666644149,0.4891993282649315,0.5108006717350685,21967,10746,11221,3545,5238,,5508,7676,13184,0.1489768014734963,0.41777912621359226,0.5822208737864077
12,AGE13,60-64,1936290,2082545,4018835,0.0678395232814327,0.48180380632695796,0.518196193673042,18804,9060,9744,3563,5418,,3642,6181,9823,0.11099811293038182,0.370762496182429,0.629237503817571
13,AGE14,65-69,1669611,1841751,3511362,0.059273178458070085,0.47548814391680494,0.5245118560831951,16430,7812,8618,7826,7990,,0,792,792,0.008949455913759789,0.0,1.0
14,AGE15,70-74,1588498,1812174,3400672,0.05740468750683129,0.4671129706128671,0.532887029387133,15912,7433,8479,8211,8068,,0,268,268,0.0030283512435449788,0.0,1.0
15,AGE16,75-79,1162138,1430540,2592678,0.04376542941978418,0.44823846231579856,0.5517615376842014,12131,5438,6693,7355,7828,,0,0,0,0.0,,
16,AGE17,80-84,955112,1324966,2280078,0.038488617861764045,0.4188944413305159,0.5811055586694841,10669,4469,6200,530,159,,4310,5670,9980,0.11277218436783168,0.4318637274549098,0.5681362725450901
17,AGE18,85-89,521402,884771,1406173,0.023736756042789034,0.3707950586449889,0.629204941355011,6579,2439,4140,0,0,,2439,4140,6579,0.07434150310180006,0.3707250341997264,0.6292749658002736
18,AGE19,90-94,198009,455578,653587,0.011032806896262662,0.30295737216315505,0.697042627836845,3058,926,2132,0,0,,926,2132,3058,0.034554843667016964,0.302812295618051,0.697187704381949
19,AGE20,95-99,37867,128009,165876,0.002800052444011991,0.22828498396392485,0.7717150160360752,776,177,599,0,0,,177,599,776,0.008768658824592924,0.22809278350515463,0.7719072164948454
20,AGE21,100+,2873,15029,17902,0.0003021928359298673,0.1604848620265892,0.8395151379734108,84,13,71,0,0,,13,71,84,0.0009491847181260382,0.15476190476190477,0.8452380952380952
