,AgeGroup,Age,M_x,F_x,AccPOP,PercPOP,PercPOPM,PercPOPF,ExpPOP,ExpPOPM,ExpPOPF,F_y,M_y,X,GenPOPM,GenPOPF,GenPOP,PercGenPOP,PercGenPOPM,PercGenPOPF
0,AGE1,0-4,19092,17712,36804,0.058619470379679094,0.5187479621780241,0.4812520378219759,161,84,77,95,85,,0,0,0,0.0,,
1,AGE2,5-9,19812,18242,38054,0.06061040446224074,0.5206285804383245,0.4793714195616755,167,87,80,80,86,,1,0,1,0.001034126163391934,1.0,0.0
2,AGE3,10-14,20358,18936,39294,0.0625854110721419,0.5180943655519926,0.4819056344480073,172,89,83,65,68,,21,18,39,0.04033092037228542,0.5384615384615384,0.46153846153846156
3,AGE4,15-19,19670,18581,38251,0.06092417567365246,0.5142349219628245,0.4857650780371755,168,86,82,37,41,,45,45,90,0.09307135470527404,0.5,0.5
4,AGE5,20-24,20437,19585,40022,0.0637449310818258,0.5106441457198541,0.48935585428014594,175,89,86,37,20,,69,49,118,0.12202688728024819,0.5847457627118644,0.4152542372881356
5,AGE6,25-29,21371,20455,41826,0.06661824714977876,0.5109501267154402,0.48904987328455984,183,94,89,33,51,,43,56,99,0.10237849017580145,0.43434343434343436,0.5656565656565656
6,AGE7,30-34,21235,20400,41635,0.06631403242196335,0.5100276209919539,0.48997237900804613,183,93,90,43,51,,42,47,89,0.09203722854188211,0.47191011235955055,0.5280898876404494
7,AGE8,35-39,22956,22463,45419,0.07234098807669397,0.50542724410489,0.49457275589510996,199,101,98,80,120,,0,18,18,0.01861427094105481,0.0,1.0
8,AGE9,40-44,21715,22303,44018,0.07010954915695887,0.49332091417147533,0.5066790858285247,193,95,98,75,98,,0,23,23,0.023784901758014478,0.0,1.0
9,AGE10,45-49,19790,21264,41054,0.06538864626038869,0.48204803429629267,0.5179519657037073,180,87,93,69,95,,0,24,24,0.02481902792140641,0.0,1.0
10,AGE11,50-54,19073,20132,39205,0.0624436565654635,0.48649406963397523,0.5135059303660248,172,84,88,41,46,,38,47,85,0.08790072388831438,0.4470588235294118,0.5529411764705883
11,AGE12,55-59,19537,20971,40508,0.06451900625312576,0.4822997926335539,0.5177002073664462,178,86,92,32,43,,43,60,103,0.10651499482936919,0.4174757281553398,0.5825242718446602
12,AGE13,60-64,18963,20714,39677,0.06319543327503878,0.4779343196310205,0.5220656803689795,174,83,91,37,53,,30,54,84,0.08686659772492245,0.35714285714285715,0.6428571428571429
13,AGE14,65-69,16728,19135,35863,0.05712069520232668,0.4664417366087611,0.5335582633912389,157,73,84,43,50,,23,41,64,0.06618407445708377,0.359375,0.640625
14,AGE15,70-74,11566,15466,27032,0.04305514409584516,0.427863273157739,0.572136726842261,119,51,68,38,54,,0,30,30,0.031023784901758014,0.0,1.0
15,AGE16,75-79,6088,9639,15727,0.025049136253157623,0.3871049786990526,0.6128950213009474,69,27,42,57,55,,0,0,0,0.0,,
16,AGE17,80-84,4857,8871,13728,0.021865234468325036,0.35380244755244755,0.6461975524475524,60,21,39,3,0,,21,36,57,0.05894519131334023,0.3684210526315789,0.631578947368421
17,AGE18,85-89,2019,4778,6797,0.010825903167337213,0.2970428130057378,0.7029571869942621,30,9,21,0,0,,9,21,30,0.031023784901758014,0.3,0.7
18,AGE19,90-94,548,1920,2468,0.003930900252609716,0.22204213938411668,0.7779578606158833,11,2,9,0,0,,2,9,11,0.011375387797311272,0.18181818181818182,0.8181818181818182
19,AGE20,95-99,61,336,397,0.0006323206646215791,0.15365239294710328,0.8463476070528967,2,0,2,0,0,,0,2,2,0.002068252326783868,0.0,1.0
20,AGE21,100+,4,63,67,0.00010671406682530429,0.05970149253731343,0.9402985074626866,0,0,0,0,0,,0,0,0,0.0,,
