,AgeGroup,Age,M_x,F_x,AccPOP,PercPOP,PercPOPM,PercPOPF,ExpPOP,ExpPOPM,ExpPOPF,F_y,M_y,X,GenPOPM,GenPOPF,GenPOP,PercGenPOP,PercGenPOPM,PercGenPOPF
0,AGE1,0-4,980830,927580,1908410,0.049817900915836384,0.5139514045723927,0.48604859542760726,8671,4456,4215,6675,6597,,0,0,0,0.0,,
1,AGE2,5-9,978780,925619,1904399,0.049713196161316434,0.5139574217377766,0.4860425782622234,8653,4447,4206,4777,4709,,0,0,0,0.0,,
2,AGE3,10-14,1064390,1010427,2074817,0.054161856060538825,0.513004279413558,0.4869957205864421,9427,4836,4591,3942,3920,,916,649,1565,0.03067484662576687,0.5853035143769968,0.4146964856230032
3,AGE4,15-19,927210,880375,1807585,0.04718592463199842,0.5129551307407397,0.48704486925926027,8213,4213,4000,2776,2781,,1432,1224,2656,0.05205903682941649,0.5391566265060241,0.4608433734939759
4,AGE5,20-24,995361,950388,1945749,0.050792613164407925,0.5115567321375984,0.48844326786240155,8841,4523,4318,1950,1977,,2546,2368,4914,0.09631705835081049,0.5181115181115181,0.4818884818884819
5,AGE6,25-29,1196327,1153938,2350265,0.06135226125201513,0.5090179192559137,0.4909820807440863,10678,5435,5243,4504,4343,,1092,739,1831,0.03588859052509849,0.596395412342982,0.403604587657018
6,AGE7,30-34,1411119,1368207,2779326,0.07255264187507289,0.5077198572603574,0.49228014273964266,12628,6411,6217,4667,4584,,1827,1550,3377,0.06619102687234167,0.5410127331951436,0.4589872668048564
7,AGE8,35-39,1621643,1585377,3207020,0.0837173377812449,0.5056541586893751,0.4943458413106248,14571,7368,7203,5906,6021,,1347,1297,2644,0.05182383033771732,0.5094553706505295,0.4905446293494705
8,AGE9,40-44,1561454,1533353,3094807,0.08078808457283122,0.5045400246283532,0.49545997537164677,14061,7094,6967,6065,6248,,846,902,1748,0.034261745624179225,0.4839816933638444,0.5160183066361556
9,AGE10,45-49,1385104,1375609,2760713,0.07206676064947333,0.5017196644490028,0.49828033555099716,12543,6293,6250,5807,5830,,463,443,906,0.017758090123287402,0.5110375275938189,0.488962472406181
10,AGE11,50-54,1146584,1162673,2309257,0.06028177195424546,0.4965164119887912,0.5034835880112088,10492,5209,5283,3553,3503,,1706,1730,3436,0.0673474587898626,0.49650756693830034,0.5034924330616997
11,AGE12,55-59,1125295,1181726,2307021,0.060223402512433785,0.4877697255464948,0.5122302744535052,10482,5113,5369,3108,2844,,2269,2261,4530,0.08879045061643702,0.5008830022075055,0.49911699779249447
12,AGE13,60-64,1245223,1397384,2642607,0.06898367420286816,0.4712100588547597,0.5287899411452402,12007,5658,6349,2985,2673,,2985,3364,6349,0.12444383464983634,0.4701527799653489,0.5298472200346511
13,AGE14,65-69,1134685,1395876,2530561,0.06605878042950929,0.4483926686612178,0.5516073313387821,11498,5156,6342,3268,2208,,2948,3074,6022,0.11803445775103392,0.4895383593490535,0.5104616406509466
14,AGE15,70-74,828949,1138529,1967478,0.05135983570516185,0.42132567683094807,0.578674323169052,8939,3766,5173,3167,2113,,1653,2006,3659,0.07171837942727219,0.45176277671494947,0.5482372232850505
15,AGE16,75-79,405266,645514,1050780,0.027429983035271537,0.38568111307790404,0.614318886922096,4774,1841,2933,3064,2054,,0,0,0,0.0,,
16,AGE17,80-84,290573,565913,856486,0.02235805444521934,0.3392618209754742,0.6607381790245258,3891,1320,2571,93,98,,1222,2478,3700,0.07252200160724435,0.3302702702702703,0.6697297297297298
17,AGE18,85-89,156240,372877,529117,0.013812282622122394,0.2952844077963853,0.7047155922036147,2404,710,1694,0,0,,710,1694,2404,0.0471197005037339,0.29534109816971715,0.7046589018302829
18,AGE19,90-94,58770,169455,228225,0.00595767703822384,0.2575090371344068,0.7424909628655931,1037,267,770,0,0,,267,770,1037,0.02032576099100335,0.25747348119575697,0.742526518804243
19,AGE20,95-99,9798,39136,48934,0.0012773927842630972,0.2002288797155352,0.7997711202844648,222,44,178,0,0,,44,178,222,0.004351320096434662,0.1981981981981982,0.8018018018018018
20,AGE21,100+,739,3420,4159,0.0001085682059457682,0.17768694397691753,0.8223130560230825,19,3,16,0,0,,3,16,19,0.00037241027852368723,0.15789473684210525,0.8421052631578947
