,AgeGroup,Age,M_x,F_x,AccPOP,PercPOP,PercPOPM,PercPOPF,ExpPOP,ExpPOPM,ExpPOPF,F_y,M_y,X,GenPOPM,GenPOPF,GenPOP,PercGenPOP,PercGenPOPM,PercGenPOPF
0,AGE1,0-4,527689,501493,1029182,0.05324672018886878,0.5127266120083717,0.4872733879916283,4851,2487,2364,2527,2317,,170,0,170,0.006090352165657579,1.0,0.0
1,AGE2,5-9,520076,493090,1013166,0.052418101469784185,0.5133176596924887,0.4866823403075113,4775,2451,2324,1947,2071,,380,377,757,0.027119979937663453,0.5019815059445178,0.49801849405548215
2,AGE3,10-14,538545,516851,1055396,0.05460295215078709,0.5102776588124268,0.4897223411875732,4974,2538,2436,1723,1802,,736,713,1449,0.051911295811987244,0.5079365079365079,0.49206349206349204
3,AGE4,15-19,525262,502811,1028073,0.053189343930160934,0.5109189717072621,0.489081028292738,4846,2476,2370,1279,1239,,1237,1091,2328,0.08340199906853438,0.5313573883161512,0.4686426116838488
4,AGE5,20-24,524521,501431,1025952,0.053079609895247196,0.5112529631015876,0.4887470368984124,4836,2472,2364,986,778,,1694,1378,3072,0.1100562461935299,0.5514322916666666,0.4485677083333333
5,AGE6,25-29,526828,504055,1030883,0.053334724711918406,0.5110453853638095,0.48895461463619055,4859,2483,2376,1528,2052,,431,848,1279,0.045820943646329666,0.33698201720093823,0.6630179827990618
6,AGE7,30-34,687543,652953,1340496,0.06935315175187463,0.5129019407741612,0.4870980592258388,6318,3241,3077,1854,2049,,1192,1223,2415,0.08651882635331208,0.49358178053830226,0.5064182194616977
7,AGE8,35-39,660740,632444,1293184,0.06690537397731605,0.5109404384836187,0.48905956151638125,6095,3114,2981,2623,3531,,0,358,358,0.012825565148855371,0.0,1.0
8,AGE9,40-44,764252,742577,1506829,0.07795871103018995,0.5071922560555976,0.49280774394440247,7102,3602,3500,2718,3576,,26,782,808,0.028947085587360727,0.03217821782178218,0.9678217821782178
9,AGE10,45-49,754165,737091,1491256,0.07715301177242868,0.5057247045443573,0.49427529545564275,7029,3555,3474,2537,3537,,18,937,955,0.03421344893060581,0.018848167539267015,0.981151832460733
10,AGE11,50-54,811815,813066,1624881,0.0840663594458602,0.4996150487327995,0.5003849512672005,7659,3827,3832,1799,1936,,1891,2033,3924,0.1405796582237667,0.48190621814475026,0.5180937818552498
11,AGE12,55-59,501660,523375,1025035,0.05303216712767723,0.4894076787621886,0.5105923212378114,4831,2364,2467,1391,1803,,561,1076,1637,0.058646508795185036,0.3427000610873549,0.657299938912645
12,AGE13,60-64,557659,648896,1206555,0.062423455207612034,0.4621911143710813,0.5378088856289187,5687,2628,3059,1320,1834,,794,1739,2533,0.09074624726829793,0.3134622976707461,0.6865377023292538
13,AGE14,65-69,525390,680747,1206137,0.06240182916961395,0.43559728289572414,0.5644027171042759,5685,2476,3209,2113,1912,,564,1096,1660,0.05947049761759753,0.3397590361445783,0.6602409638554216
14,AGE15,70-74,392071,562146,954217,0.04936826100579081,0.41088243030673316,0.5891175696932668,4497,1848,2649,2106,1970,,0,543,543,0.019453301329129796,0.0,1.0
15,AGE16,75-79,233194,376967,610161,0.03156785878217882,0.3821843742880977,0.6178156257119023,2876,1099,1777,2008,2036,,0,0,0,0.0,,
16,AGE17,80-84,169573,330679,500252,0.02588150421200719,0.3389751565211134,0.6610248434788867,2358,799,1559,105,52,,747,1454,2201,0.07885214774477842,0.3393911858246252,0.6606088141753749
17,AGE18,85-89,88547,187508,276055,0.014282239042014115,0.3207585444929452,0.6792414555070547,1301,417,884,0,0,,417,884,1301,0.04660910686776771,0.3205226748654881,0.6794773251345119
18,AGE19,90-94,30274,65375,95649,0.004948585905452204,0.31651141151501844,0.6834885884849815,451,143,308,0,0,,143,308,451,0.01615734603947981,0.3170731707317073,0.6829268292682927
19,AGE20,95-99,4830,9611,14441,0.0007471330495941962,0.33446437227338827,0.6655356277266117,68,23,45,0,0,,23,45,68,0.0024361408662630316,0.3382352941176471,0.6617647058823529
20,AGE21,100+,340,412,752,3.8906173623352644e-05,0.4521276595744681,0.5478723404255319,4,2,2,0,0,,2,2,4,0.0001433024038978254,0.5,0.5
