,AgeGroup,Age,M_x,F_x,AccPOP,PercPOP,PercPOPM,PercPOPF,ExpPOP,ExpPOPM,ExpPOPF,F_y,M_y,X,GenPOPM,GenPOPF,GenPOP,PercGenPOP,PercGenPOPM,PercGenPOPF
0,AGE1,0-4,148338,141015,289353,0.053115557217445514,0.5126540937885559,0.48734590621144414,1258,645,613,658,689,,0,0,0,0.0,,
1,AGE2,5-9,148036,140622,288658,0.05298797840448652,0.5128421869478761,0.48715781305212397,1255,644,611,668,642,,2,0,2,0.00028698522026115655,1.0,0.0
2,AGE3,10-14,147058,140070,287128,0.052707121449339374,0.512168788832855,0.48783121116714495,1248,639,609,559,604,,35,50,85,0.012196871861099154,0.4117647058823529,0.5882352941176471
3,AGE4,15-19,135363,128136,263499,0.048369625375370824,0.5137135245295048,0.48628647547049514,1145,588,557,381,423,,165,176,341,0.048930980054527194,0.4838709677419355,0.5161290322580645
4,AGE5,20-24,144697,137537,282234,0.05180874632614321,0.5126845100165112,0.4873154899834889,1227,629,598,249,250,,379,349,728,0.10446262017506099,0.5206043956043956,0.4793956043956044
5,AGE6,25-29,174720,167234,341954,0.06277134590874939,0.5109459167022465,0.4890540832977535,1486,759,727,418,521,,238,309,547,0.07849045774142632,0.4351005484460695,0.5648994515539305
6,AGE7,30-34,203754,195989,399743,0.07337947831463065,0.5097124902750017,0.4902875097249983,1738,886,852,475,447,,439,377,816,0.11708996986655187,0.5379901960784313,0.46200980392156865
7,AGE8,35-39,222079,210242,432321,0.07935971222625396,0.5136900590070804,0.48630994099291963,1879,965,914,694,973,,0,220,220,0.03156837422872722,0.0,1.0
8,AGE9,40-44,232577,219287,451864,0.082947155020006,0.5147057521732202,0.4852942478267797,1964,1011,953,764,1009,,2,189,191,0.02740708853494045,0.010471204188481676,0.9895287958115183
9,AGE10,45-49,214651,206937,421588,0.07738949150756487,0.5091487423740714,0.4908512576259286,1833,933,900,759,970,,0,141,141,0.020232458028411535,0.0,1.0
10,AGE11,50-54,173798,173234,347032,0.06370349729321814,0.5008126051776205,0.4991873948223795,1508,755,753,425,518,,237,328,565,0.08107332472377672,0.4194690265486726,0.5805309734513274
11,AGE12,55-59,173140,180530,353670,0.06492201263195459,0.48955240761161534,0.5104475923883847,1537,752,785,371,470,,282,414,696,0.09987085665088248,0.4051724137931034,0.5948275862068966
12,AGE13,60-64,166279,183753,350032,0.06425419720527137,0.4750394249668602,0.5249605750331399,1521,723,798,311,456,,267,487,754,0.10819342803845602,0.3541114058355438,0.6458885941644562
13,AGE14,65-69,151037,184396,335433,0.061574307866583036,0.4502747195416074,0.5497252804583926,1458,657,801,414,371,,286,387,673,0.09657052661787918,0.424962852897474,0.575037147102526
14,AGE15,70-74,106491,147658,254149,0.04665327731613828,0.41901010824358936,0.5809898917564106,1105,463,642,390,338,,125,252,377,0.05409671401922801,0.33156498673740054,0.6684350132625995
15,AGE16,75-79,59926,100653,160579,0.029476947059198223,0.37318702943722404,0.626812970562776,698,260,438,397,351,,0,41,41,0.005883197015353709,0.0,1.0
16,AGE17,80-84,34297,70261,104558,0.019193360468153668,0.328018898601733,0.671981101398267,454,149,305,19,7,,142,286,428,0.0614148371358875,0.3317757009345794,0.6682242990654206
17,AGE18,85-89,16230,39413,55643,0.010214198402125849,0.2916808942724152,0.7083191057275848,242,71,171,0,0,,71,171,242,0.03472521165159994,0.29338842975206614,0.7066115702479339
18,AGE19,90-94,6310,16958,23268,0.0042712285178848055,0.27118789754168815,0.7288121024583119,101,27,74,0,0,,27,74,101,0.014492753623188406,0.26732673267326734,0.7326732673267327
19,AGE20,95-99,1041,3528,4569,0.0008387159660570603,0.2278397898883782,0.7721602101116218,20,5,15,0,0,,5,15,20,0.0028698522026115655,0.25,0.75
20,AGE21,100+,58,280,338,6.204552342466324e-05,0.17159763313609466,0.8284023668639053,1,0,1,0,0,,0,1,1,0.00014349261013057828,0.0,1.0
