,AgeGroup,Age,M_x,F_x,AccPOP,PercPOP,PercPOPM,PercPOPF,ExpPOP,ExpPOPM,ExpPOPF,F_y,M_y,X,GenPOPM,GenPOPF,GenPOP,PercGenPOP,PercGenPOPM,PercGenPOPF
0,AGE1,0-4,3388639,3221158,6609797,0.07796834211152893,0.5126691485381473,0.4873308514618528,3755,1925,1830,1513,1532,,393,317,710,0.043161094224924014,0.5535211267605634,0.44647887323943664
1,AGE2,5-9,3508767,3331187,6839954,0.08068324541572469,0.5129810814517174,0.4870189185482826,3886,1993,1893,1286,1320,,673,607,1280,0.07781155015197569,0.52578125,0.47421875
2,AGE3,10-14,3311436,3144512,6455948,0.07615355847059162,0.5129279232112774,0.4870720767887226,3668,1881,1787,1076,1120,,761,711,1472,0.08948328267477204,0.516983695652174,0.4830163043478261
3,AGE4,15-19,3238998,3071659,6310657,0.07443972393169032,0.5132584451983367,0.48674155480166326,3585,1840,1745,741,713,,1127,1004,2131,0.12954407294832826,0.5288596902862506,0.47114030971374943
4,AGE5,20-24,3473779,3298459,6772238,0.07988447591426734,0.5129440223453459,0.4870559776546542,3847,1973,1874,516,438,,1535,1358,2893,0.1758662613981763,0.5305910819218804,0.4694089180781196
5,AGE6,25-29,3466921,3332222,6799143,0.08020184394304503,0.5099055866305503,0.49009441336944964,3863,1970,1893,912,1073,,897,981,1878,0.11416413373860182,0.4776357827476038,0.5223642172523961
6,AGE7,30-34,3437282,3312069,6749351,0.0796145037130172,0.5092759289004232,0.49072407109957683,3834,1953,1881,1044,1108,,845,837,1682,0.10224924012158054,0.5023781212841855,0.4976218787158145
7,AGE8,35-39,3335357,3225875,6561232,0.07739547542066894,0.508343097759689,0.49165690224031094,3728,1895,1833,1396,1862,,33,437,470,0.02857142857142857,0.07021276595744681,0.9297872340425531
8,AGE9,40-44,3135990,3058939,6194929,0.07307461085849261,0.5062188767619451,0.49378112323805484,3519,1781,1738,1566,1859,,0,172,172,0.010455927051671733,0.0,1.0
9,AGE10,45-49,2815523,2760290,5575813,0.06577159563809759,0.5049529100061283,0.49504708999387176,3168,1600,1568,1341,1909,,0,227,227,0.013799392097264438,0.0,1.0
10,AGE11,50-54,2576198,2527888,5104086,0.06020716270328201,0.5047324829558123,0.49526751704418776,2900,1464,1436,779,852,,612,657,1269,0.07714285714285714,0.48226950354609927,0.5177304964539007
11,AGE12,55-59,2214041,2149425,4363466,0.051470901433133986,0.5074042057391991,0.4925957942608009,2479,1258,1221,537,796,,462,684,1146,0.06966565349544072,0.4031413612565445,0.5968586387434555
12,AGE13,60-64,1634418,1701251,3335669,0.03934713604106475,0.4899820695638566,0.5100179304361434,1895,929,966,567,770,,159,399,558,0.0339209726443769,0.2849462365591398,0.7150537634408602
13,AGE14,65-69,1195304,1489043,2684347,0.03166422285617189,0.4452866935608548,0.5547133064391452,1525,679,846,917,1089,,0,0,0,0.0,,
14,AGE15,70-74,839640,1097358,1936998,0.02284858714017198,0.43347489259152566,0.5665251074084744,1100,477,623,932,1082,,0,0,0,0.0,,
15,AGE16,75-79,523782,748852,1272634,0.015011832147759382,0.41157316243318975,0.5884268375668102,723,298,425,776,1098,,0,0,0,0.0,,
16,AGE17,80-84,281157,477936,759093,0.008954166477195418,0.37038544684248176,0.6296145531575182,431,160,271,106,18,,142,165,307,0.01866261398176292,0.46254071661237783,0.5374592833876222
17,AGE18,85-89,92466,235585,328051,0.0038696487347537572,0.281864710060326,0.718135289939674,186,52,134,0,0,,52,134,186,0.011306990881458966,0.27956989247311825,0.7204301075268817
18,AGE19,90-94,18356,82424,100780,0.0011887883270847632,0.18213931335582456,0.8178606866441754,57,10,47,0,0,,10,47,57,0.003465045592705167,0.17543859649122806,0.8245614035087719
19,AGE20,95-99,1719,17340,19059,0.0002248175900566432,0.09019360931843223,0.9098063906815678,11,1,10,0,0,,1,10,11,0.000668693009118541,0.09090909090909091,0.9090909090909091
20,AGE21,100+,53,2097,2150,2.5361132201153412e-05,0.024651162790697675,0.9753488372093023,1,0,1,0,0,,0,1,1,6.0790273556231004e-05,0.0,1.0
