airportID,airportName,City,countryName,IATA,ICAO,Latitude,Longitude,Altitude,Timezone,DST,TZ,Type,Source,iso_code,dafif_code,HH_ISO,region,sub-region,Lang,Currency
210,Houari Boumediene Airport,Algier,Algeria,ALG,DAAG,36.69100189,3.215409994,82,1,N,Africa/Algiers,airport,OurAirports,DZ,AG,DZA,Africa,Northern Africa,#N/A,DZD
797,Cape Town International Airport,Cape Town,South Africa,CPT,FACT,-33.96480179,18.60169983,151,2,U,Africa/Johannesburg,airport,OurAirports,ZA,SF,ZAF,Africa,Sub-Saharan Africa,#N/A,ZAR
813,OR Tambo International Airport,Johannesburg,South Africa,JNB,FAOR,-26.1392,28.246,5558,2,U,Africa/Johannesburg,airport,OurAirports,ZA,SF,ZAF,Africa,Sub-Saharan Africa,#N/A,ZAR
1072,Rabat-Salé Airport,Rabat,Morocco,RBA,GMME,34.051498,-6.75152,276,0,N,Africa/Casablanca,airport,OurAirports,MA,MO,MAR,Africa,Northern Africa,#N/A,MAD
1074,Mohammed V International Airport,Casablanca,Morocco,CMN,GMMN,33.36750031,-7.589970112,656,0,N,Africa/Casablanca,airport,OurAirports,MA,MO,MAR,Africa,Northern Africa,#N/A,MAD
146,Montreal / Pierre Elliott Trudeau International Airport,Montreal,Canada,YUL,CYUL,45.47060013,-73.74079895,118,-5,A,America/Toronto,airport,OurAirports,CA,CA,CAN,Americas,Northern America,#N/A,CAD
156,Vancouver International Airport,Vancouver,Canada,YVR,CYVR,49.19390106,-123.1839981,14,-8,A,America/Vancouver,airport,OurAirports,CA,CA,CAN,Americas,Northern America,#N/A,CAD
178,Calgary International Airport,Calgary,Canada,YYC,CYYC,51.11389923,-114.0199966,3557,-7,A,America/Edmonton,airport,OurAirports,CA,CA,CAN,Americas,Northern America,#N/A,CAD
193,Lester B. Pearson International Airport,Toronto,Canada,YYZ,CYYZ,43.67720032,-79.63059998,569,-5,A,America/Toronto,airport,OurAirports,CA,CA,CAN,Americas,Northern America,#N/A,CAD
3682,Hartsfield Jackson Atlanta International Airport,Atlanta,United States,ATL,KATL,33.6367,-84.428101,1026,-5,A,America/New_York,airport,OurAirports,US,US,USA,Americas,Northern America,en_US,USD
3448,General Edward Lawrence Logan International Airport,Boston,United States,BOS,KBOS,42.36429977,-71.00520325,20,-5,A,America/New_York,airport,OurAirports,US,US,USA,Americas,Northern America,en_US,USD
3876,Charlotte Douglas International Airport,Charlotte,United States,CLT,KCLT,35.2140007,-80.94309998,748,-5,A,America/New_York,airport,OurAirports,US,US,USA,Americas,Northern America,en_US,USD
3751,Denver International Airport,Denver,United States,DEN,KDEN,39.86169815,-104.6729965,5431,-7,A,America/Denver,airport,OurAirports,US,US,USA,Americas,Northern America,en_US,USD
3670,Dallas Fort Worth International Airport,Dallas-Fort Worth,United States,DFW,KDFW,32.896801,-97.038002,607,-6,A,America/Chicago,airport,OurAirports,US,US,USA,Americas,Northern America,en_US,USD
3645,Detroit Metropolitan Wayne County Airport,Detroit,United States,DTW,KDTW,42.21239853,-83.35340118,645,-5,A,America/New_York,airport,OurAirports,US,US,USA,Americas,Northern America,en_US,USD
3494,Newark Liberty International Airport,Newark,United States,EWR,KEWR,40.69250107,-74.16870117,18,-5,A,America/New_York,airport,OurAirports,US,US,USA,Americas,Northern America,en_US,USD
3714,Washington Dulles International Airport,Washington,United States,IAD,KIAD,38.94449997,-77.45580292,312,-5,A,America/New_York,airport,OurAirports,US,US,USA,Americas,Northern America,en_US,USD
3797,John F Kennedy International Airport,New York,United States,JFK,KJFK,40.63980103,-73.77890015,13,-5,A,America/New_York,airport,OurAirports,US,US,USA,Americas,Northern America,en_US,USD
3484,Los Angeles International Airport,Los Angeles,United States,LAX,KLAX,33.94250107,-118.4079971,125,-8,A,America/Los_Angeles,airport,OurAirports,US,US,USA,Americas,Northern America,en_US,USD
3878,Orlando International Airport,Orlando,United States,MCO,KMCO,28.42939949,-81.30899811,96,-5,A,America/New_York,airport,OurAirports,US,US,USA,Americas,Northern America,en_US,USD
3576,Miami International Airport,Miami,United States,MIA,KMIA,25.79319954,-80.29060364,8,-5,A,America/New_York,airport,OurAirports,US,US,USA,Americas,Northern America,en_US,USD
3858,Minneapolis-St Paul International/Wold-Chamberlain Airport,Minneapolis,United States,MSP,KMSP,44.882,-93.221802,841,-6,A,America/Chicago,airport,OurAirports,US,US,USA,Americas,Northern America,en_US,USD
