airportID,IATA,origin,HH_ISO,region
210,ALG,DAAG,DZA,Africa
797,CPT,FACT,ZAF,Africa
813,JNB,FAOR,ZAF,Africa
1072,RBA,GMME,MAR,Africa
1074,CMN,GMMN,MAR,Africa
146,YUL,CYUL,CAN,Americas
156,YVR,CYVR,CAN,Americas
178,YYC,CYYC,CAN,Americas
193,YYZ,CYYZ,CAN,Americas
3682,ATL,KATL,USA,Americas
3448,BOS,KBOS,USA,Americas
3876,CLT,KCLT,USA,Americas
3751,DEN,KDEN,USA,Americas
3670,DFW,KDFW,USA,Americas
3645,DTW,KDTW,USA,Americas
3494,EWR,KEWR,USA,Americas
3714,IAD,KIAD,USA,Americas
3797,JFK,KJFK,USA,Americas
3484,LAX,KLAX,USA,Americas
3878,MCO,KMCO,USA,Americas
3576,MIA,KMIA,USA,Americas
3858,MSP,KMSP,USA,Americas
3830,ORD,KORD,USA,Americas
3752,PHL,KPHL,USA,Americas
3462,PHX,KPHX,USA,Americas
3577,SEA,KSEA,USA,Americas
3469,SFO,KSFO,USA,Americas
1871,PTY,MPTO,PAN,Americas
3988,EZE,SAEZ,ARG,Americas
2560,GIG,SBGL,BRA,Americas
1197,LCA,LCLK,CYP,Asia
1590,TLV,LLBG,ISR,Asia
1701,ISL,LTBA,TUR,Asia
4317,SAW,LTFJ,TUR,Asia
2177,BEY,OLBA,LBN,Asia
2179,AUH,OMAA,ARE,Asia
2188,DXB,OMDB,ARE,Asia
11051,DOH,OTHH,QAT,Asia
2276,TPE,RCTP,TWN,Asia
2279,NRT,RJAA,JPN,Asia
2359,HND,RJTT,JPN,Asia
3930,ICN,RKSI,KOR,Asia
3077,HKG,VHHH,HKK,Asia
3093,DEL,VIDP,IND,Asia
3093,DEL,VIDP,IND,Asia
3131,BLR,VOBL,IND,Asia
3131,BLR,VOBL,IND,Asia
3885,BKK,VTBS,THA,Asia
3316,SIN,WSSS,SGP,Asia
16,KEF,BIKF,ISL,Europe
302,BRU,EBBR,BEL,Europe
304,CRL,EBCI,BEL,Europe
337,SXF,EDDB,DEU,Europe
338,DRS,EDDC,DEU,Europe
340,FRA,EDDF,DEU,Europe
341,FMO,EDDG,DEU,Europe
342,HAM,EDDH,DEU,Europe
344,CGN,EDDK,DEU,Europe
345,DUS,EDDL,DEU,Europe
346,MUC,EDDM,DEU,Europe
347,NUE,EDDN,DEU,Europe
348,LEJ,EDDP,DEU,Europe
350,STR,EDDS,DEU,Europe
352,HAJ,EDDV,DEU,Europe
353,BRE,EDDW,DEU,Europe
373,DTM,EDLW,DEU,Europe
382,FDH,EDNY,DEU,Europe
415,TLL,EETN,EST,Europe
421,HEL,EFHK,FIN,Europe
439,KUO,EFKU,FIN,Europe
446,OUL,EFOU,FIN,Europe
465,BFS,EGAA,GBR,Europe
467,BHD,EGAC,GBR,Europe
469,BHX,EGBB,GBR,Europe
478,MAN,EGCC,GBR,Europe
490,BRS,EGGD,GBR,Europe
491,LPL,EGGP,GBR,Europe
492,LTN,EGGW,GBR,Europe
495,SOU,EGHI,GBR,Europe
497,ACI,EGJA,GGY,Europe
498,GCI,EGJB,GGY,Europe
499,JER,EGJJ,JEY,Europe
502,LGW,EGKK,GBR,Europe
503,LCY,EGLC,GBR,Europe
507,LHR,EGLL,GBR,Europe
517,LBA,EGNM,GBR,Europe
520,IOM,EGNS,IMN,Europe
521,NCL,EGNT,GBR,Europe
523,EMA,EGNX,GBR,Europe
532,ABZ,EGPD,GBR,Europe
534,GLA,EGPF,GBR,Europe
535,EDI,EGPH,GBR,Europe
548,STN,EGSS,GBR,Europe
580,AMS,EHAM,NLD,Europe
585,EIN,EHEH,NLD,Europe
591,RTM,EHRD,NLD,Europe
599,DUB,EIDW,IRL,Europe
600,NOC,EIKN,IRL,Europe
603,SNN,EINN,IRL,Europe
607,AAR,EKAH,DNK,Europe
608,BLL,EKBI,DNK,Europe
609,CPH,EKCH,DNK,Europe
618,RNN,EKRN,DNK,Europe
628,AAL,EKYT,DNK,Europe
629,LUX,ELLX,LUX,Europe
635,BOO,ENBO,NOR,Europe
636,BGO,ENBR,NOR,Europe
638,KRS,ENCN,NOR,Europe
643,FRO,ENFL,NOR,Europe
644,OSL,ENGM,NOR,Europe
645,HAU,ENHD,NOR,Europe
664,TRF,ENTO,NOR,Europe
666,SVG,ENZV,NOR,Europe
668,GDN,EPGD,POL,Europe
669,KRK,EPKK,POL,Europe
671,KTW,EPKT,POL,Europe
8414,WMI,EPMO,POL,Europe
674,POZ,EPPO,POL,Europe
675,RZE,EPRZ,POL,Europe
679,WAW,EPWA,POL,Europe
680,WRO,EPWR,POL,Europe
687,GOT,ESGG,SWE,Europe
699,NYO,ESKN,SWE,Europe
708,MMX,ESMS,SWE,Europe
5593,OSD,ESNZ,SWE,Europe
737,ARN,ESSA,SWE,Europe
5597,AGH,ESTA,SWE,Europe
3953,RIX,EVRA,LVA,Europe
3956,KUN,EYKA,LTU,Europe
3959,VNO,EYVI,LTU,Europe
1194,SOF,LBSF,BGR,Europe
1208,ZAG,LDZA,HRV,Europe
1212,ALC,LEAL,ESP,Europe
1214,OVD,LEAS,ESP,Europe
1218,BCN,LEBL,ESP,Europe
1225,IBZ,LEIB,ESP,Europe
1229,MAD,LEMD,ESP,Europe
1230,AGP,LEMG,ESP,Europe
1231,MAH,LEMH,ESP,Europe
3998,PMI,LEPA,ESP,Europe
1250,VGO,LEVX,ESP,Europe
1253,SVQ,LEZL,ESP,Europe
1264,BOD,LFBD,FRA,Europe
