,AgeGroup,Age,M_x,F_x,AccPOP,PercPOP,PercPOPM,PercPOPF,ExpPOP,ExpPOPM,ExpPOPF,F_y,M_y,X,GenPOPM,GenPOPF,GenPOP,PercGenPOP,PercGenPOPM,PercGenPOPF
0,AGE1,0-4,221238,209610,430848,0.048290133535139994,0.5134943181818182,0.4865056818181818,1892,972,920,1016,1069,,0,0,0,0.0,,
1,AGE2,5-9,222077,208618,430695,0.04827298505021984,0.515624746049989,0.484375253950011,1891,975,916,974,979,,0,0,0,0.0,,
2,AGE3,10-14,216721,205219,421940,0.04729171063534464,0.51362989998578,0.48637010001422004,1853,952,901,784,841,,111,117,228,0.0200845665961945,0.4868421052631579,0.5131578947368421
3,AGE4,15-19,222664,211066,433730,0.04861315270860319,0.5133700689368962,0.48662993106310376,1904,977,927,541,529,,448,386,834,0.07346723044397463,0.5371702637889688,0.4628297362110312
4,AGE5,20-24,253881,239115,492996,0.055255780860744105,0.5149757807365577,0.4850242192634423,2165,1115,1050,340,348,,767,710,1477,0.1301092318534179,0.5192958700067705,0.48070412999322953
5,AGE6,25-29,300995,286619,587614,0.06586071776384653,0.5122325199876109,0.48776748001238907,2580,1322,1258,824,936,,386,434,820,0.07223396758280479,0.47073170731707314,0.5292682926829269
6,AGE7,30-34,313199,301680,614879,0.06891662260925742,0.5093668835657097,0.4906331164342903,2700,1375,1325,954,993,,382,371,753,0.06633192389006343,0.5073041168658698,0.49269588313413015
7,AGE8,35-39,308792,303082,611874,0.06857981739889764,0.5046659933254232,0.4953340066745768,2687,1356,1331,1472,1802,,0,0,0,0.0,,
8,AGE9,40-44,289722,285847,575569,0.06451069488238773,0.5033662341092032,0.4966337658907968,2527,1272,1255,1516,1769,,0,0,0,0.0,,
9,AGE10,45-49,296486,301443,597929,0.06701683947594679,0.4958548590217233,0.5041451409782767,2625,1302,1323,1454,1747,,0,0,0,0.0,,
10,AGE11,50-54,345807,346056,691863,0.07754511256411208,0.4998200510794767,0.5001799489205233,3038,1518,1520,706,770,,748,814,1562,0.1375968992248062,0.4788732394366197,0.5211267605633803
11,AGE12,55-59,350193,350753,700946,0.07856314974404485,0.49960053984187086,0.5003994601581292,3078,1538,1540,523,605,,933,1017,1950,0.17177589852008457,0.47846153846153844,0.5215384615384615
12,AGE13,60-64,292725,303911,596636,0.0668719179661314,0.49062577517950645,0.5093742248204935,2620,1285,1335,590,667,,618,745,1363,0.12006694855532064,0.45341159207630227,0.5465884079236977
13,AGE14,65-69,223375,247463,470838,0.05277227675054368,0.47442007654437407,0.5255799234556259,2067,981,1086,1063,832,,149,23,172,0.015151515151515152,0.8662790697674418,0.13372093023255813
14,AGE15,70-74,190662,223920,414582,0.04646701421676649,0.4598897202483465,0.5401102797516535,1820,837,983,967,870,,0,16,16,0.0014094432699083862,0.0,1.0
15,AGE16,75-79,147403,188345,335748,0.03763117330045905,0.4390286762691066,0.5609713237308934,1474,647,827,947,825,,0,0,0,0.0,,
16,AGE17,80-84,120248,168565,288813,0.032370623367601534,0.41635244950885175,0.5836475504911482,1268,528,740,58,20,,508,682,1190,0.10482734319943622,0.426890756302521,0.573109243697479
17,AGE18,85-89,50795,89237,140032,0.015695010721165522,0.36273851691042047,0.6372614830895795,615,223,392,0,0,,223,392,615,0.0541754756871036,0.36260162601626017,0.6373983739837399
18,AGE19,90-94,20359,45831,66190,0.0074186811559782476,0.3075842272246563,0.6924157727753437,291,90,201,0,0,,90,201,291,0.025634249471458773,0.30927835051546393,0.6907216494845361
19,AGE20,95-99,3521,13323,16844,0.0018879024836274,0.2090358584659226,0.7909641415340775,74,15,59,0,0,,15,59,74,0.0065186751233262865,0.20270270270270271,0.7972972972972973
20,AGE21,100+,243,1262,1505,0.00016868280918185924,0.16146179401993355,0.8385382059800665,7,1,6,0,0,,1,6,7,0.0006166314305849189,0.14285714285714285,0.8571428571428571
