,AgeGroup,Age,M_x,F_x,AccPOP,PercPOP,PercPOPM,PercPOPF,ExpPOP,ExpPOPM,ExpPOPF,F_y,M_y,X,GenPOPM,GenPOPF,GenPOP,PercGenPOP,PercGenPOPM,PercGenPOPF
0,AGE1,0-4,242523,231189,473712,0.049457526175701004,0.5119629648393961,0.4880370351606039,1637,838,799,735,818,,20,64,84,0.007291033764430171,0.23809523809523808,0.7619047619047619
1,AGE2,5-9,302160,288778,590938,0.06169641386162141,0.5113226768290413,0.4886773231709587,2043,1045,998,800,757,,288,198,486,0.042183838208488846,0.5925925925925926,0.4074074074074074
2,AGE3,10-14,279689,268655,548344,0.05724942102646459,0.5100612024568519,0.4899387975431481,1895,967,928,683,651,,316,245,561,0.04869368978387293,0.5632798573975044,0.43672014260249553
3,AGE4,15-19,241653,232797,474450,0.04953457648119816,0.509332911792602,0.490667088207398,1640,835,805,510,516,,319,295,614,0.05329398489714435,0.5195439739413681,0.4804560260586319
4,AGE5,20-24,232545,224931,457476,0.047762419454763644,0.508321748026126,0.49167825197387405,1581,804,777,355,333,,471,422,893,0.07751063275757313,0.5274356103023516,0.47256438969764836
5,AGE6,25-29,264299,269228,533527,0.05570246387666605,0.49538073986883513,0.5046192601311649,1844,913,931,408,517,,396,523,919,0.07976738130370628,0.4309031556039173,0.5690968443960827
6,AGE7,30-34,364591,375894,740485,0.07730974995400995,0.49236783999675887,0.5076321600032411,2559,1260,1299,539,525,,735,760,1495,0.12976304140265602,0.4916387959866221,0.5083612040133779
7,AGE8,35-39,388806,409207,798013,0.08331591523130022,0.4872176267805161,0.512782373219484,2758,1344,1414,815,1145,,199,599,798,0.06926482076208662,0.24937343358395989,0.7506265664160401
8,AGE9,40-44,345803,368726,714529,0.07459983433140276,0.4839593634408121,0.516040636559188,2470,1195,1275,932,1107,,88,343,431,0.03740994705320719,0.20417633410672853,0.7958236658932715
9,AGE10,45-49,309667,341523,651190,0.06798697620147841,0.4755401649288226,0.5244598350711774,2251,1070,1181,842,1153,,0,339,339,0.029424529120736048,0.0,1.0
10,AGE11,50-54,291325,333810,625135,0.06526672456228014,0.4660193398225983,0.5339806601774016,2161,1007,1154,689,791,,216,465,681,0.059109452304487456,0.31718061674008813,0.6828193832599119
11,AGE12,55-59,299836,355654,655490,0.0684359142958385,0.45742269142168457,0.5425773085783154,2266,1037,1229,545,721,,316,684,1000,0.08679802100512109,0.316,0.684
12,AGE13,60-64,307797,395150,702947,0.07339062479445421,0.43786658169108056,0.5621334183089195,2430,1064,1366,518,797,,267,848,1115,0.09677979342071001,0.23946188340807176,0.7605381165919283
13,AGE14,65-69,234472,345778,580250,0.06058054168661657,0.40408789314950455,0.5959121068504954,2006,811,1195,708,785,,26,487,513,0.044527384775627114,0.050682261208576995,0.949317738791423
14,AGE15,70-74,155464,278404,433868,0.04529764491251867,0.358320963979828,0.6416790360201721,1500,537,963,628,738,,0,335,335,0.029077337036715563,0.0,1.0
15,AGE16,75-79,67733,146175,213908,0.02233289532287941,0.3166454737550723,0.6833545262449278,739,234,505,595,732,,0,0,0,0.0,,
16,AGE17,80-84,54079,160465,214544,0.02239929639916151,0.2520648445074204,0.7479351554925796,742,187,555,52,18,,169,503,672,0.058328270115441366,0.25148809523809523,0.7485119047619048
17,AGE18,85-89,23064,88751,111815,0.011673956516482606,0.2062692840853195,0.7937307159146805,386,80,306,0,0,,80,306,386,0.03350403610797674,0.20725388601036268,0.7927461139896373
18,AGE19,90-94,8006,38526,46532,0.004858136606224287,0.1720536405054586,0.8279463594945414,161,28,133,0,0,,28,133,161,0.013974481381824494,0.17391304347826086,0.8260869565217391
19,AGE20,95-99,1380,8722,10102,0.001054691309122276,0.1366066125519699,0.8633933874480301,35,5,30,0,0,,5,30,35,0.003037930735179238,0.14285714285714285,0.8571428571428571
20,AGE21,100+,107,796,903,9.427699981562217e-05,0.1184939091915836,0.8815060908084164,3,0,3,0,0,,0,3,3,0.0002603940630153633,0.0,1.0
