,AgeGroup,Age,M_x,F_x,AccPOP,PercPOP,PercPOPM,PercPOPF,ExpPOP,ExpPOPM,ExpPOPF,F_y,M_y,X,GenPOPM,GenPOPF,GenPOP,PercGenPOP,PercGenPOPM,PercGenPOPF
0,AGE1,0-4,2037599,1933712,3971311,0.047612760150806614,0.5130796857763091,0.48692031422369086,17852,9159,8693,8976,9119,,40,0,40,0.00036050651164886663,1.0,0.0
1,AGE2,5-9,1982542,1877199,3859741,0.046275127401816295,0.5136463819722619,0.48635361802773813,17350,8912,8438,7974,8062,,850,464,1314,0.01184263890766527,0.6468797564687976,0.3531202435312024
2,AGE3,10-14,1924679,1815773,3740452,0.04484495017680683,0.5145578662685686,0.4854421337314314,16814,8652,8162,6636,6958,,1694,1526,3220,0.029020774187733765,0.5260869565217391,0.47391304347826085
3,AGE4,15-19,2003891,1857610,3861501,0.04629622835761286,0.5189409506821311,0.48105904931786886,17358,9008,8350,4622,4609,,4399,3728,8127,0.07324591050425848,0.5412821459333087,0.4587178540666913
4,AGE5,20-24,2408417,2172142,4580559,0.05491714374009454,0.5257910661122365,0.4742089338877635,20591,10827,9764,3516,2584,,8243,6248,14491,0.13060249650759317,0.5688358291353254,0.4311641708646746
5,AGE6,25-29,2547416,2337659,4885075,0.05856804070336008,0.5214691688459235,0.47853083115407646,21959,11451,10508,7940,10697,,754,2568,3322,0.029940065792438377,0.22697170379289586,0.7730282962071041
6,AGE7,30-34,2865760,2688646,5554406,0.06659277016033273,0.5159435590412368,0.4840564409587632,24968,12882,12086,10015,11000,,1882,2071,3953,0.03562705601369925,0.47609410574247407,0.523905894257526
7,AGE8,35-39,2706978,2613422,5320400,0.06378723023866716,0.5087921960754831,0.49120780392451696,23916,12168,11748,12439,18164,,0,0,0,0.0,,
8,AGE9,40-44,2563441,2532007,5095448,0.061090240347559596,0.503084517789211,0.4969154822107889,22905,11523,11382,13434,18347,,0,0,0,0.0,,
9,AGE10,45-49,2473669,2458121,4931790,0.05912811522042634,0.5015763039383266,0.49842369606167336,22169,11119,11050,11819,17736,,0,0,0,0.0,,
10,AGE11,50-54,3191489,3157021,6348510,0.07611342550230825,0.5027146527295381,0.49728534727046186,28538,14346,14192,6636,7635,,6711,7556,14267,0.12858366004235952,0.470386205929768,0.529613794070232
11,AGE12,55-59,3430757,3419451,6850208,0.08212837284391393,0.5008252304163611,0.49917476958363893,30793,15422,15371,5067,7373,,8049,10304,18353,0.16540940020729125,0.4385659020323653,0.5614340979676348
12,AGE13,60-64,2914250,3002998,5917248,0.07094294800302473,0.4925009058264923,0.5074990941735077,26599,13100,13499,4971,7451,,5649,8528,14177,0.12777252039114956,0.3984622980884531,0.6015377019115469
13,AGE14,65-69,2353056,2584524,4937580,0.05919753256932527,0.47656058230955245,0.5234394176904476,22195,10577,11618,9389,10019,,558,2229,2787,0.025118291199134786,0.20021528525296017,0.7997847147470398
14,AGE15,70-74,1894188,2172418,4066606,0.04875526900457584,0.4657908831098956,0.5342091168901044,18280,8515,9765,9623,9653,,0,142,142,0.0012797981163534767,0.0,1.0
15,AGE16,75-79,1495293,1848370,3343663,0.04008777566000912,0.44720206551916264,0.5527979344808374,15030,6721,8309,8533,9844,,0,0,0,0.0,,
16,AGE17,80-84,1442280,2012796,3455076,0.041423526107828956,0.4174379955752059,0.5825620044247941,15531,6483,9048,798,58,,6425,8250,14675,0.13226082646117795,0.43781942078364566,0.5621805792163543
17,AGE18,85-89,647493,1093531,1741024,0.02087344912770567,0.37190354641865936,0.6280964535813406,7826,2911,4915,0,0,,2911,4915,7826,0.07053309900410076,0.3719652440582673,0.6280347559417326
18,AGE19,90-94,227667,513883,741550,0.00889057600621826,0.30701503607309016,0.6929849639269099,3333,1023,2310,0,0,,1023,2310,3333,0.030039205083141816,0.3069306930693069,0.693069306930693
19,AGE20,95-99,39919,146623,186542,0.002236485509206347,0.21399470360562234,0.7860052963943777,839,180,659,0,0,,180,659,839,0.007561624081834978,0.21454112038140644,0.7854588796185935
20,AGE21,100+,3203,16651,19854,0.00023803316840058974,0.1613276921527148,0.8386723078472852,89,14,75,0,0,,14,75,89,0.0008021269884187283,0.15730337078651685,0.8426966292134831
