,AgeGroup,Age,M_x,F_x,AccPOP,PercPOP,PercPOPM,PercPOPF,ExpPOP,ExpPOPM,ExpPOPF,F_y,M_y,X,GenPOPM,GenPOPF,GenPOP,PercGenPOP,PercGenPOPM,PercGenPOPF
0,AGE1,0-4,974959,922012,1896971,0.039947228420185735,0.5139556693275754,0.48604433067242464,7524,3867,3657,6611,6409,,0,0,0,0.0,,
1,AGE2,5-9,1169880,1100731,2270611,0.0478154996941895,0.5152269587348955,0.4847730412651044,9006,4640,4366,5408,5300,,0,0,0,0.0,,
2,AGE3,10-14,1306773,1224584,2531357,0.05330640072622939,0.5162341779527739,0.48376582204722607,10040,5183,4857,4512,4456,,727,345,1072,0.017869347068726976,0.6781716417910447,0.3218283582089552
3,AGE4,15-19,1273260,1193757,2467017,0.05195150142805628,0.5161131844652874,0.4838868155347126,9784,5050,4734,2964,2979,,2071,1770,3841,0.06402627060725775,0.5391825045561052,0.46081749544389483
4,AGE5,20-24,1243414,1175891,2419305,0.050946761681173534,0.5139550408071739,0.48604495919282603,9595,4931,4664,1922,1858,,3073,2742,5815,0.09693120634761881,0.5284608770421324,0.4715391229578676
5,AGE6,25-29,1285156,1249230,2534386,0.05337018670655526,0.5070877127635648,0.49291228723643515,10052,5097,4955,4000,4438,,659,955,1614,0.0269040356053408,0.4083023543990087,0.5916976456009914
6,AGE7,30-34,1373937,1367016,2740953,0.05772016313375025,0.5012625170880347,0.4987374829119653,10871,5449,5422,4606,4578,,871,816,1687,0.028120884799386573,0.5163011262596325,0.4836988737403675
7,AGE8,35-39,1562463,1581882,3144345,0.06621496477640876,0.49691207548789973,0.5030879245121003,12471,6197,6274,5998,7368,,0,276,276,0.004600690103515527,0.0,1.0
8,AGE9,40-44,1922246,1911594,3833840,0.08073464602592495,0.5013892076873318,0.49861079231266825,15205,7624,7581,6266,7351,,273,1315,1588,0.026470637262256003,0.17191435768261965,0.8280856423173804
9,AGE10,45-49,1995649,1962769,3958418,0.08335806294802334,0.5041531743236818,0.49584682567631816,15700,7915,7785,5757,7082,,833,2028,2861,0.04769048690636929,0.2911569381335197,0.7088430618664803
10,AGE11,50-54,1859522,1861304,3720826,0.07835474877252525,0.4997605370420439,0.5002394629579561,14757,7375,7382,2662,2976,,4399,4720,9119,0.15200613425347134,0.48239938589757647,0.5176006141024235
11,AGE12,55-59,1706199,1756357,3462556,0.07291598840977781,0.4927570846507609,0.5072429153492392,13733,6767,6966,1846,2631,,4136,5120,9256,0.1542898101381874,0.44684528954191877,0.5531547104580813
12,AGE13,60-64,1483624,1571451,3055075,0.06433507885244368,0.4856260484603488,0.5143739515396513,12117,5884,6233,1943,2678,,3206,4290,7496,0.12495207614475505,0.4276947705442903,0.5723052294557097
13,AGE14,65-69,1202099,1320072,2522171,0.05311295800081724,0.4766128069825559,0.5233871930174441,10003,4768,5235,3716,3641,,1127,1519,2646,0.04410661599239886,0.42592592592592593,0.5740740740740741
14,AGE15,70-74,1030683,1195679,2226362,0.046883685285658845,0.4629449298901077,0.5370550701098923,8830,4088,4742,3908,3765,,323,834,1157,0.019286226267273426,0.2791702679343129,0.7208297320656871
15,AGE16,75-79,806572,1010809,1817381,0.03827118808537693,0.4438100761480394,0.5561899238519606,7208,3199,4009,3561,3683,,0,448,448,0.007467786834691871,0.0,1.0
16,AGE17,80-84,528742,761201,1289943,0.027164172604652176,0.40989563104726334,0.5901043689527367,5116,2097,3019,224,104,,1993,2795,4788,0.07981197179576936,0.4162489557226399,0.58375104427736
17,AGE18,85-89,368630,635488,1004118,0.021145147240954162,0.3671182072226571,0.6328817927773429,3982,1462,2520,0,0,,1462,2520,3982,0.06637662316014069,0.36715218483174283,0.6328478151682572
18,AGE19,90-94,145681,313706,459387,0.009673968353898854,0.3171204235209094,0.6828795764790906,1822,578,1244,0,0,,578,1244,1822,0.03037122235001917,0.3172338090010977,0.6827661909989023
19,AGE20,95-99,29653,88312,117965,0.0024841575335559744,0.25137116941465687,0.7486288305853431,468,118,350,0,0,,118,350,468,0.007801170175526329,0.25213675213675213,0.7478632478632479
20,AGE21,100+,2574,11363,13937,0.0002934913198420685,0.18468823993685873,0.8153117600631413,55,10,45,0,0,,10,45,55,0.0009168041872947609,0.18181818181818182,0.8181818181818182
