Country,Alpha-2,Alpha-3,Continent,F_AGEHOH1_T1,F_AGEHOH2_T1,F_AGEHOH3_T1,F_AGEHOH4_T1,F_AGEHOH5_T1,F_AGEHOH1_T2,F_AGEHOH2_T2,F_AGEHOH3_T2,F_AGEHOH4_T2,F_AGEHOH5_T2,F_AGEHOH1_T3,F_AGEHOH2_T3,F_AGEHOH3_T3,F_AGEHOH4_T3,F_AGEHOH5_T3,F_AGEHOH1_T4,F_AGEHOH2_T4,F_AGEHOH3_T4,F_AGEHOH4_T4,F_AGEHOH5_T4,M_AGEHOH1_T1,M_AGEHOH2_T1,M_AGEHOH3_T1,M_AGEHOH4_T1,M_AGEHOH5_T1,M_AGEHOH1_T2,M_AGEHOH2_T2,M_AGEHOH3_T2,M_AGEHOH4_T2,M_AGEHOH5_T2,M_AGEHOH1_T3,M_AGEHOH2_T3,M_AGEHOH3_T3,M_AGEHOH4_T3,M_AGEHOH5_T3,M_AGEHOH1_T4,M_AGEHOH2_T4,M_AGEHOH3_T4,M_AGEHOH4_T4,M_AGEHOH5_T4,F_AGEHOH1_T1_PERC,F_AGEHOH2_T1_PERC,F_AGEHOH3_T1_PERC,F_AGEHOH4_T1_PERC,F_AGEHOH5_T1_PERC,F_AGEHOH1_T2_PERC,F_AGEHOH2_T2_PERC,F_AGEHOH3_T2_PERC,F_AGEHOH4_T2_PERC,F_AGEHOH5_T2_PERC,F_AGEHOH1_T3_PERC,F_AGEHOH2_T3_PERC,F_AGEHOH3_T3_PERC,F_AGEHOH4_T3_PERC,F_AGEHOH5_T3_PERC,F_AGEHOH1_T4_PERC,F_AGEHOH2_T4_PERC,F_AGEHOH3_T4_PERC,F_AGEHOH4_T4_PERC,F_AGEHOH5_T4_PERC,M_AGEHOH1_T1_PERC,M_AGEHOH2_T1_PERC,M_AGEHOH3_T1_PERC,M_AGEHOH4_T1_PERC,M_AGEHOH5_T1_PERC,M_AGEHOH1_T2_PERC,M_AGEHOH2_T2_PERC,M_AGEHOH3_T2_PERC,M_AGEHOH4_T2_PERC,M_AGEHOH5_T2_PERC,M_AGEHOH1_T3_PERC,M_AGEHOH2_T3_PERC,M_AGEHOH3_T3_PERC,M_AGEHOH4_T3_PERC,M_AGEHOH5_T3_PERC,M_AGEHOH1_T4_PERC,M_AGEHOH2_T4_PERC,M_AGEHOH3_T4_PERC,M_AGEHOH4_T4_PERC,M_AGEHOH5_T4_PERC,TOTAL_HH_ALL,HH_PERC,AGE1_PERC,AGE2_PERC,AGE3_PERC,TOTAL_POP_ALL,POP_PERC,HH_PERC2,HH_PERC3
Austria,AT,AUT,AUT,5416,120194,155664,113267,346634,1311,88832,259575,97330,154285,83,24724,117792,11553,3734,15,2700,15224,2038,282,4652,146112,230921,84585,116464,738,126168,318025,236688,356410,79,46544,323756,56302,17268,7,5073,47408,9528,1392,0.0015,0.0329,0.0427,0.031,0.095,0.0004,0.0243,0.0711,0.0267,0.0423,0,0.0068,0.0323,0.0032,0.001,0,0.0007,0.0042,0.0006,0.0001,0.0013,0.04,0.0633,0.0232,0.0319,0.0002,0.0346,0.0872,0.0649,0.0977,0,0.0128,0.0887,0.0154,0.0047,0,0.0014,0.013,0.0026,0.0004,3648773,0.0074376,0.1401,0.6612,0.1987,8935112,0.00275,0.01645,0.016449541
Belarus,BY,BLR,BLR,887,21953,40553,68666,202919,751,29874,105631,82674,81117,86,8805,43100,22467,23861,10,745,5069,6255,6171,1156,30767,64188,49176,75163,1123,79710,206909,249561,277356,230,50750,329777,113232,59322,43,6226,46275,50031,45228,0.0004,0.0088,0.0163,0.0276,0.0816,0.0003,0.012,0.0425,0.0332,0.0326,0,0.0035,0.0173,0.009,0.0096,0,0.0003,0.002,0.0025,0.0025,0.0005,0.0124,0.0258,0.0198,0.0302,0.0005,0.032,0.0832,0.1003,0.1115,0.0001,0.0204,0.1326,0.0455,0.0238,0,0.0025,0.0186,0.0201,0.0182,2487817,0.0050711,0.1609,0.6798,0.1593,9408400,0.00289,0.01122,0.011215674
Belgium,BE,BEL,BEL,4954,124480,158844,140354,414324,1383,119503,258192,67008,78799,74,34325,90589,5533,5360,58,4090,12216,948,2430,5814,195827,297774,117890,151316,667,231559,459040,421461,563825,64,89912,509373,63691,18296,64,6137,62743,9705,4839,0.001,0.0263,0.0336,0.0297,0.0875,0.0003,0.0252,0.0545,0.0142,0.0166,0,0.0073,0.0191,0.0012,0.0011,0,0.0009,0.0026,0.0002,0.0005,0.0012,0.0414,0.0629,0.0249,0.032,0.0001,0.0489,0.097,0.089,0.1191,0,0.019,0.1076,0.0135,0.0039,0,0.0013,0.0133,0.0021,0.001,4733461,0.0096486,0.1722,0.6357,0.1921,11539878,0.00355,0.02134,0.021339574
Bulgaria,BG,BGR,BGR,12643,80957,66746,89467,277995,1476,44000,125777,71296,80216,100,10250,33939,14484,12358,10,1077,4576,3014,2222,11927,106676,109648,71445,97820,1715,133816,370775,284556,346696,207,65123,290958,70197,37297,18,6474,34830,20511,12210,0.0042,0.0269,0.0222,0.0298,0.0925,0.0005,0.0146,0.0418,0.0237,0.0267,0,0.0034,0.0113,0.0048,0.0041,0,0.0004,0.0015,0.001,0.0007,0.004,0.0355,0.0365,0.0238,0.0325,0.0006,0.0445,0.1234,0.0947,0.1154,0.0001,0.0217,0.0968,0.0234,0.0124,0,0.0022,0.0116,0.0068,0.0041,3005502,0.0061263,0.1451,0.6545,0.2004,6951482,0.00214,0.01355,0.013549522
Croatia,HR,HRV,HRV,510,16342,29102,40919,142450,576,35868,90753,65354,66544,262,21039,71916,14618,11027,46,2639,10768,3799,3384,463,21937,47788,32226,41347,499,46071,106302,112236,150628,285,27973,171325,45850,19731,36,3797,34310,15617,12643,0.0003,0.0108,0.0192,0.0269,0.0938,0.0004,0.0236,0.0597,0.043,0.0438,0.0002,0.0139,0.0473,0.0096,0.0073,0,0.0017,0.0071,0.0025,0.0022,0.0003,0.0144,0.0315,0.0212,0.0272,0.0003,0.0303,0.07,0.0739,0.0992,0.0002,0.0184,0.1128,0.0302,0.013,0,0.0025,0.0226,0.0103,0.0083,1518980,0.0030962,0.1416,0.6478,0.2106,4058165,0.00125,0.00685,0.006847925
Czech Republic,CZ,CZE,CZE,4904,97229,106796,118271,382204,1903,121252,202888,50021,92964,75,9491,25080,1964,1290,4,480,1478,242,132,4684,171074,217964,72541,99242,1298,228192,502713,378248,402134,140,189630,610760,55485,12674,6,6197,34700,5667,2051,0.0012,0.0231,0.0253,0.0281,0.0907,0.0005,0.0288,0.0481,0.0119,0.0221,0,0.0023,0.006,0.0005,0.0003,0,0.0001,0.0004,0.0001,0,0.0011,0.0406,0.0517,0.0172,0.0236,0.0003,0.0542,0.1193,0.0898,0.0954,0,0.045,0.1449,0.0132,0.003,0,0.0015,0.0082,0.0013,0.0005,4214068,0.0085898,0.1517,0.646,0.2023,10699142,0.00329,0.01900,0.018998026
Denmark,DK,DNK,DNK,5500,95587,76976,64100,192294,696,55673,129338,57066,65375,3,14682,79523,6930,3909,0,606,6103,840,1192,5317,146481,154481,60196,79078,501,87768,153518,151150,204672,8,32175,225982,33089,6964,1,1049,19781,3318,1841,0.0025,0.043,0.0346,0.0288,0.0865,0.0003,0.025,0.0582,0.0257,0.0294,0,0.0066,0.0358,0.0031,0.0018,0,0.0003,0.0027,0.0004,0.0005,0.0024,0.0659,0.0695,0.0271,0.0356,0.0002,0.0395,0.069,0.068,0.092,0,0.0145,0.1016,0.0149,0.0031,0,0.0005,0.0089,0.0015,0.0008,2223763,0.0045329,0.1642,0.6367,0.1991,5748769,0.00177,0.01003,0.010025255
Estonia,EE,EST,EST,4956,14809,18596,24736,59905,1197,31247,64431,26808,26585,142,12700,27394,3175,2564,10,943,2829,471,436,4373,19693,22983,11785,13120,513,24578,41038,27390,30705,65,13918,35990,4108,2014,5,806,3768,675,426,0.0085,0.0254,0.032,0.0425,0.1029,0.0021,0.0537,0.1107,0.0461,0.0457,0.0002,0.0218,0.0471,0.0055,0.0044,0,0.0016,0.0049,0.0008,0.0007,0.0075,0.0338,0.0395,0.0203,0.0225,0.0009,0.0422,0.0705,0.0471,0.0528,0.0001,0.0239,0.0619,0.0071,0.0035,0,0.0014,0.0065,0.0012,0.0007,581887,0.0011861,0.1622,0.6278,0.21,1328976,0.00041,0.00262,0.002623286
Finland,FI,FIN,FIN,14892,133951,97665,104825,311286,3598,90321,155151,103081,93237,63,15542,68428,4204,1051,12,1589,6711,391,170,9254,178242,165241,93536,144906,1929,131384,185044,147211,262540,52,37403,159575,13793,2638,11,4541,20939,1300,438,0.0054,0.0484,0.0353,0.0379,0.1125,0.0013,0.0327,0.0561,0.0373,0.0337,0,0.0056,0.0247,0.0015,0.0004,0,0.0006,0.0024,0.0001,0.0001,0.0033,0.0644,0.0597,0.0338,0.0524,0.0007,0.0475,0.0669,0.0532,0.0949,0,0.0135,0.0577,0.005,0.001,0,0.0016,0.0076,0.0005,0.0002,2766145,0.0056384,0.1641,0.6133,0.2226,5503335,0.00169,0.01247,0.012470443
France,FR,FRA,FRA,115492,907776,919492,969603,2825251,16110,403511,1124757,296044,341714,668,62279,223185,18984,7745,159,5777,24575,1973,656,97266,1084679,1413537,706700,980431,22591,1848228,2874214,2615967,3699685,1934,665686,3140242,327671,99916,471,46136,321847,43707,14191,0.0041,0.0321,0.0325,0.0343,0.0999,0.0006,0.0143,0.0398,0.0105,0.0121,0,0.0022,0.0079,0.0007,0.0003,0,0.0002,0.0009,0.0001,0,0.0034,0.0384,0.05,0.025,0.0347,0.0008,0.0654,0.1017,0.0925,0.1309,0.0001,0.0235,0.1111,0.0116,0.0035,0,0.0016,0.0114,0.0015,0.0005,28270848,0.0576265,0.1836,0.6118,0.2046,67146000,0.02064,0.12745,0.127451743
