,AgeGroup,Age,M_x,F_x,AccPOP,PercPOP,PercPOPM,PercPOPF,ExpPOP,ExpPOPM,ExpPOPF,F_y,M_y,X,GenPOPM,GenPOPF,GenPOP,PercGenPOP,PercGenPOPM,PercGenPOPF
0,AGE1,0-4,222496,210734,433230,0.04147586012650793,0.513574775523394,0.48642522447660597,1998,1026,972,1447,1525,,0,0,0,0.0,,
1,AGE2,5-9,248840,235164,484004,0.0463367777039225,0.5141279824133684,0.4858720175866315,2232,1148,1084,1292,1336,,0,0,0,0.0,,
2,AGE3,10-14,283516,267890,551406,0.05278959935580923,0.5141692328338828,0.4858307671661172,2543,1308,1235,1136,1119,,189,99,288,0.01850780798149219,0.65625,0.34375
3,AGE4,15-19,286324,261790,548114,0.05247443528236911,0.5223803807237181,0.47761961927628194,2528,1321,1207,753,759,,562,454,1016,0.06529143371248634,0.5531496062992126,0.4468503937007874
4,AGE5,20-24,292785,265302,558087,0.053429213928911735,0.5246225050932919,0.4753774949067081,2574,1350,1224,563,430,,920,661,1581,0.10160015423173317,0.58191018342821,0.41808981657179
5,AGE6,25-29,275520,257173,532693,0.050998084985734805,0.5172209884492569,0.4827790115507431,2457,1271,1186,834,1126,,145,352,497,0.031938821412505626,0.2917505030181087,0.7082494969818913
6,AGE7,30-34,273964,274927,548891,0.05254882242850002,0.4991227766532882,0.5008772233467118,2531,1263,1268,1117,1084,,179,151,330,0.02120686331212647,0.5424242424242425,0.4575757575757576
7,AGE8,35-39,335151,332227,667378,0.06389233566352424,0.5021906625630452,0.49780933743695477,3078,1546,1532,1399,1904,,0,133,133,0.008547008547008548,0.0,1.0
8,AGE9,40-44,388785,393365,782150,0.07488018834787105,0.4970721728568689,0.5029278271431311,3607,1793,1814,1580,1904,,0,234,234,0.015037593984962405,0.0,1.0
9,AGE10,45-49,382279,398798,781077,0.07477746324130932,0.48942549838236177,0.5105745016176382,3602,1763,1839,1360,1845,,0,479,479,0.03078208341366236,0.0,1.0
10,AGE11,50-54,384733,416917,801650,0.07674704722760446,0.47992640179629514,0.5200735982037049,3697,1774,1923,727,857,,917,1196,2113,0.13578818841976736,0.4339801230477993,0.5660198769522007
11,AGE12,55-59,341983,383063,725046,0.06941325965718918,0.47167076295848814,0.5283292370415118,3344,1577,1767,557,797,,780,1210,1990,0.1278838120943384,0.39195979899497485,0.6080402010050251
12,AGE13,60-64,317331,363243,680574,0.06515567257516333,0.46626964885523103,0.533730351144769,3139,1464,1675,522,790,,674,1153,1827,0.11740890688259109,0.36891078270388616,0.6310892172961139
13,AGE14,65-69,285838,324874,610712,0.05846733949537177,0.46804058214019045,0.5319594178598095,2816,1318,1498,852,1097,,221,646,867,0.05571621361095045,0.2549019607843137,0.7450980392156863
14,AGE15,70-74,263790,306170,569960,0.054565891645787366,0.4628219524177135,0.5371780475822865,2628,1216,1412,885,1098,,118,527,645,0.04144977829188355,0.18294573643410852,0.8170542635658915
15,AGE16,75-79,209460,245194,454654,0.0435269157490417,0.46070198436613335,0.5392980156338666,2097,966,1131,794,1040,,0,337,337,0.021656705867232184,0.0,1.0
16,AGE17,80-84,164266,208489,372755,0.035686204190514194,0.4406808761787233,0.5593191238212767,1719,758,961,66,11,,747,895,1642,0.10552021078336868,0.45493300852618757,0.5450669914738124
17,AGE18,85-89,102959,126004,228963,0.021920082547712844,0.4496752750444395,0.5503247249555605,1056,475,581,0,0,,475,581,1056,0.0678619625988047,0.4498106060606061,0.5501893939393939
18,AGE19,90-94,46767,45778,92545,0.008859920770509145,0.5053433464800907,0.49465665351990923,427,216,211,0,0,,216,211,427,0.027440395861448492,0.5058548009367682,0.49414519906323184
19,AGE20,95-99,9199,10082,19281,0.0018458926184687105,0.4771018100720917,0.5228981899279083,89,42,47,0,0,,42,47,89,0.005719426772058351,0.47191011235955055,0.5280898876404494
20,AGE21,100+,895,1288,2183,0.00020899245817733493,0.40998625744388456,0.5900137425561154,10,4,6,0,0,,4,6,10,0.00064263222157959,0.4,0.6
