,AgeGroup,Age,M_x,F_x,AccPOP,PercPOP,PercPOPM,PercPOPF,ExpPOP,ExpPOPM,ExpPOPF,F_y,M_y,X,GenPOPM,GenPOPF,GenPOP,PercGenPOP,PercGenPOPM,PercGenPOPF
0,AGE1,0-4,92631,87858,180489,0.0444540500600351,0.5132224124461878,0.4867775875538121,874,449,425,618,614,,0,0,0,0.0,,
1,AGE2,5-9,98265,92171,190436,0.046903974631322926,0.5160001260265916,0.4839998739734084,922,476,446,500,469,,7,0,7,0.0011409942950285248,1.0,0.0
2,AGE3,10-14,104196,98880,203076,0.05001717927403713,0.5130886958577084,0.48691130414229156,984,505,479,461,430,,75,18,93,0.015158924205378973,0.8064516129032258,0.1935483870967742
3,AGE4,15-19,100858,94954,195812,0.048228071795819095,0.5150756848405613,0.4849243151594386,949,489,460,321,330,,159,139,298,0.04857375713121435,0.5335570469798657,0.4664429530201342
4,AGE5,20-24,119438,110071,229509,0.05652756996397894,0.5204066071483036,0.47959339285169644,1112,579,533,231,203,,376,302,678,0.11051344743276284,0.5545722713864307,0.44542772861356933
5,AGE6,25-29,124416,113792,238208,0.058670114836365875,0.522299838796346,0.47770016120365394,1154,603,551,317,368,,235,234,469,0.07644661776691117,0.5010660980810234,0.4989339019189765
6,AGE7,30-34,129539,120412,249951,0.061562390320495056,0.5182575784853831,0.4817424215146169,1211,628,583,372,359,,269,211,480,0.07823960880195599,0.5604166666666667,0.4395833333333333
7,AGE8,35-39,142239,134097,276336,0.0680609587143253,0.5147320653117944,0.48526793468820567,1339,689,650,537,695,,0,113,113,0.018418907905460472,0.0,1.0
8,AGE9,40-44,144368,136694,281062,0.06922496228564391,0.5136517921312735,0.48634820786872646,1361,699,662,618,699,,0,44,44,0.007171964140179299,0.0,1.0
9,AGE10,45-49,137195,132366,269561,0.06639229087774391,0.5089571562651868,0.4910428437348133,1306,665,641,619,713,,0,22,22,0.0035859820700896495,0.0,1.0
10,AGE11,50-54,135207,135678,270885,0.0667183892121548,0.49913062738800595,0.500869372611994,1312,655,657,355,412,,243,302,545,0.08883455582722087,0.44587155963302755,0.5541284403669725
11,AGE12,55-59,140576,147441,288017,0.0709379637326437,0.4880823006975283,0.5119176993024718,1395,681,714,304,381,,300,410,710,0.11572942135289324,0.4225352112676056,0.5774647887323944
12,AGE13,60-64,140729,154008,294737,0.0725930851882639,0.4774731370679623,0.5225268629320378,1428,682,746,304,359,,323,442,765,0.12469437652811736,0.4222222222222222,0.5777777777777777
13,AGE14,65-69,130208,147394,277602,0.06837277177426804,0.4690456120633137,0.5309543879366864,1345,631,714,464,405,,226,250,476,0.07758761206193969,0.47478991596638653,0.5252100840336135
14,AGE15,70-74,97633,126893,224526,0.05530026784889628,0.43484050844891015,0.5651594915510898,1088,473,615,447,351,,122,168,290,0.04726976365118175,0.4206896551724138,0.5793103448275863
15,AGE16,75-79,61355,93644,154999,0.03817591822911856,0.39584126349202253,0.6041587365079775,751,297,454,414,366,,0,40,40,0.006519967400162999,0.0,1.0
16,AGE17,80-84,46621,83454,130075,0.032037190973184325,0.3584162982894484,0.6415837017105516,630,226,404,22,10,,216,382,598,0.09747351263243684,0.3612040133779264,0.6387959866220736
17,AGE18,85-89,23124,51270,74394,0.01832308118592408,0.31083151867086056,0.6891684813291394,360,112,248,0,0,,112,248,360,0.05867970660146699,0.3111111111111111,0.6888888888888889
18,AGE19,90-94,6985,18262,25247,0.006218281456851698,0.27666653463777874,0.7233334653622212,122,34,88,0,0,,34,88,122,0.019885900570497148,0.2786885245901639,0.7213114754098361
19,AGE20,95-99,1149,3630,4779,0.0011770573566084789,0.24042686754551162,0.7595731324544884,23,6,17,0,0,,6,17,23,0.0037489812550937245,0.2608695652173913,0.7391304347826086
20,AGE21,100+,111,313,424,0.00010443028231889412,0.2617924528301887,0.7382075471698113,2,1,1,0,0,,1,1,2,0.00032599837000814997,0.5,0.5
