Age,M,F
0-4,59967170,55340255
5-9,63226616,57728797
10-14,65685028,59621376
15-19,67336800,61074946
20-24,66257488,59916372
25-29,63129365,57608842
30-34,59247344,54832812
35-39,54325266,50436183
40-44,47639454,44528837
45-49,42078054,39938624
50-54,36249209,34835102
55-59,30768737,29953537
60-64,25049681,25038908
65-69,19370847,19773332
70-74,12639641,13496452
75-79,7166071,8407784
80-84,3944348,5115304
85-89,1718575,2401077
90-94,568315,812016
95-99,119582,176266
100+,15833,23585
