,AgeGroup,Age,M_x,F_x,AccPOP,PercPOP,PercPOPM,PercPOPF,ExpPOP,ExpPOPM,ExpPOPF,F_y,M_y,X,GenPOPM,GenPOPF,GenPOP,PercGenPOP,PercGenPOPM,PercGenPOPF
0,AGE1,0-4,71850,68038,139888,0.0501995234404157,0.5136251858629761,0.4863748141370239,651,334,317,295,293,,41,22,63,0.016671077004498543,0.6507936507936508,0.3492063492063492
1,AGE2,5-9,75039,71092,146131,0.05243985588378836,0.5135050057824828,0.4864949942175172,680,349,331,275,279,,70,56,126,0.03334215400899709,0.5555555555555556,0.4444444444444444
2,AGE3,10-14,70247,66820,137067,0.049187193178882094,0.5125011855515915,0.4874988144484084,638,327,311,246,253,,74,65,139,0.03678221751786187,0.5323741007194245,0.4676258992805755
3,AGE4,15-19,64988,61666,126654,0.045450434932391696,0.513114469341671,0.486885530658329,589,302,287,137,164,,138,150,288,0.07621063773485048,0.4791666666666667,0.5208333333333334
4,AGE5,20-24,75370,69583,144953,0.05201712456578532,0.5199616427393707,0.4800383572606293,675,351,324,110,97,,254,214,468,0.12384228631913205,0.5427350427350427,0.45726495726495725
5,AGE6,25-29,91061,81675,172736,0.06198719604972296,0.527168627269359,0.47283137273064096,804,424,380,219,254,,170,161,331,0.08758930934109553,0.513595166163142,0.486404833836858
6,AGE7,30-34,100745,88140,188885,0.06778234719949473,0.5333668634354237,0.46663313656457633,879,469,410,256,296,,173,154,327,0.08653082826144483,0.5290519877675841,0.4709480122324159
7,AGE8,35-39,93400,83699,177099,0.06355288088881234,0.527388635734815,0.472611364265185,824,435,389,414,484,,0,0,0,0.0,,
8,AGE9,40-44,87716,83129,170845,0.0613086010392444,0.5134244490620152,0.4865755509379847,795,408,387,459,484,,0,0,0,0.0,,
9,AGE10,45-49,93367,95370,188737,0.06772923664341285,0.49469367426630706,0.5053063257336929,878,434,444,425,460,,0,19,19,0.005027785128340831,0.0,1.0
10,AGE11,50-54,97368,105207,202575,0.0726950736370683,0.48065161051462424,0.5193483894853758,943,453,490,336,288,,165,154,319,0.08441386610214342,0.5172413793103449,0.4827586206896552
11,AGE12,55-59,97526,111396,208922,0.07497272701174174,0.46680579354974583,0.5331942064502542,972,454,518,278,260,,194,240,434,0.11484519714210109,0.4470046082949309,0.5529953917050692
12,AGE13,60-64,91949,116433,208382,0.07477894525306462,0.4412521235039495,0.5587478764960505,970,428,542,248,251,,177,294,471,0.12463614712887007,0.37579617834394907,0.6242038216560509
13,AGE14,65-69,65102,94623,159725,0.05731813223093044,0.4075880419470966,0.5924119580529035,743,303,440,457,281,,22,0,22,0.005821645938078857,1.0,0.0
14,AGE15,70-74,49046,83648,132694,0.04761791978870611,0.3696173150255475,0.6303826849744525,617,228,389,437,287,,0,0,0,0.0,,
15,AGE16,75-79,36086,72827,108913,0.0390839864496311,0.33132867518110787,0.6686713248188921,507,168,339,409,268,,0,0,0,0.0,,
16,AGE17,80-84,26541,64152,90693,0.03254564636982172,0.2926466210181602,0.7073533789818398,422,123,299,19,12,,111,280,391,0.10346652553585604,0.28388746803069054,0.7161125319693095
17,AGE18,85-89,13851,39586,53437,0.019176140441535327,0.25920242528585064,0.7407975747141494,249,65,184,0,0,,65,184,249,0.06589044720825615,0.26104417670682734,0.7389558232931727
18,AGE19,90-94,5275,17356,22631,0.008121249964114488,0.23308735804869427,0.7669126419513057,105,24,81,0,0,,24,81,105,0.027785128340830908,0.22857142857142856,0.7714285714285715
19,AGE20,95-99,1064,4050,5114,0.0018351850256940257,0.208056315995307,0.791943684004693,24,5,19,0,0,,5,19,24,0.0063508864779042076,0.20833333333333334,0.7916666666666666
20,AGE21,100+,141,418,559,0.00020060000574168173,0.2522361359570662,0.7477638640429338,3,1,2,0,0,,1,2,3,0.0007938608097380259,0.3333333333333333,0.6666666666666666
