,AgeGroup,Age,M_x,F_x,AccPOP,PercPOP,PercPOPM,PercPOPF,ExpPOP,ExpPOPM,ExpPOPF,F_y,M_y,X,GenPOPM,GenPOPF,GenPOP,PercGenPOP,PercGenPOPM,PercGenPOPF
0,AGE1,0-4,16982,16399,33381,0.05221410583285104,0.5087325125071148,0.4912674874928852,124,63,61,70,77,,0,0,0,0.0,,
1,AGE2,5-9,17641,16728,34369,0.05375952198463969,0.513282318368297,0.486717681631703,128,66,62,73,50,,16,0,16,0.02295552367288379,1.0,0.0
2,AGE3,10-14,17384,16604,33988,0.05316356697064022,0.5114746381075673,0.4885253618924326,126,64,62,61,63,,1,1,2,0.0028694404591104736,0.5,0.5
3,AGE4,15-19,17323,16016,33339,0.05214841000453614,0.5196016677164882,0.4803983322835118,124,64,60,37,41,,23,23,46,0.06599713055954089,0.5,0.5
4,AGE5,20-24,19786,18690,38476,0.06018363548200403,0.5142426447655681,0.48575735523443186,143,74,69,14,18,,56,55,111,0.15925394548063126,0.5045045045045045,0.4954954954954955
5,AGE6,25-29,24380,23226,47606,0.07446465720855297,0.5121203209679452,0.48787967903205476,177,91,86,66,50,,41,20,61,0.08751793400286945,0.6721311475409836,0.32786885245901637
6,AGE7,30-34,26126,25171,51297,0.0802380691683221,0.5093085365615923,0.4906914634384077,191,97,94,67,76,,21,27,48,0.06886657101865136,0.4375,0.5625
7,AGE8,35-39,25026,24827,49853,0.07797938402340023,0.5019958678514833,0.49800413214851663,186,93,93,88,125,,0,5,5,0.007173601147776184,0.0,1.0
8,AGE9,40-44,24624,24092,48716,0.07620090409973253,0.5054602184087363,0.49453978159126366,181,91,90,80,130,,0,10,10,0.014347202295552367,0.0,1.0
9,AGE10,45-49,23710,22581,46291,0.07240775210774116,0.5121945950616751,0.48780540493832497,172,88,84,86,122,,0,0,0,0.0,,
10,AGE11,50-54,24369,22738,47107,0.0736841282007164,0.5173116521960642,0.4826883478039357,175,91,84,46,39,,52,38,90,0.1291248206599713,0.5777777777777777,0.4222222222222222
11,AGE12,55-59,23130,21255,44385,0.06942641285135537,0.521122000675904,0.47887799932409597,165,86,79,21,35,,51,58,109,0.1563845050215208,0.46788990825688076,0.5321100917431193
12,AGE13,60-64,18422,17816,36238,0.05668298634465283,0.5083613885976047,0.4916386114023953,135,69,66,30,33,,36,36,72,0.10329985652797705,0.5,0.5
13,AGE14,65-69,14182,14619,28801,0.04505013217374983,0.49241345786604634,0.5075865421339537,107,53,54,45,40,,13,9,22,0.03156384505021521,0.5909090909090909,0.4090909090909091
14,AGE15,70-74,11290,11952,23242,0.036354820040356006,0.4857585405731004,0.5142414594268996,86,42,44,38,39,,3,6,9,0.01291248206599713,0.3333333333333333,0.6666666666666666
15,AGE16,75-79,7831,8963,16794,0.026268946207630102,0.4662974871978087,0.5337025128021913,62,29,33,30,34,,0,3,3,0.00430416068866571,0.0,1.0
16,AGE17,80-84,5312,7501,12813,0.02004192019521046,0.4145789432607508,0.5854210567392492,48,20,28,2,0,,20,26,46,0.06599713055954089,0.43478260869565216,0.5652173913043478
17,AGE18,85-89,2907,5024,7931,0.012405562246797328,0.3665363762451141,0.6334636237548859,30,11,19,0,0,,11,19,30,0.043041606886657105,0.36666666666666664,0.6333333333333333
18,AGE19,90-94,1147,2634,3781,0.00591418873472963,0.3033588997619677,0.6966411002380323,14,4,10,0,0,,4,10,14,0.020086083213773313,0.2857142857142857,0.7142857142857143
19,AGE20,95-99,172,635,807,0.0012622984154791884,0.21313506815365552,0.7868649318463445,3,1,2,0,0,,1,2,3,0.00430416068866571,0.3333333333333333,0.6666666666666666
20,AGE21,100+,17,78,95,0.00014859770690275453,0.17894736842105263,0.8210526315789474,0,0,0,0,0,,0,0,0,0.0,,
