,AgeGroup,Age,M_x,F_x,AccPOP,PercPOP,PercPOPM,PercPOPF,ExpPOP,ExpPOPM,ExpPOPF,F_y,M_y,X,GenPOPM,GenPOPF,GenPOP,PercGenPOP,PercGenPOPM,PercGenPOPF
0,AGE1,0-4,48409,44901,93310,0.04979436012566259,0.5187975565319901,0.48120244346800983,475,246,229,373,307,,0,0,0,0.0,,
1,AGE2,5-9,52433,48627,101060,0.05393010432214619,0.5188303977834949,0.48116960221650507,514,267,247,236,216,,51,11,62,0.022342342342342343,0.8225806451612904,0.1774193548387097
2,AGE3,10-14,50512,47943,98455,0.05253996062771525,0.5130465694987558,0.48695343050124423,501,257,244,152,169,,88,92,180,0.06486486486486487,0.4888888888888889,0.5111111111111111
3,AGE4,15-19,46879,44287,91166,0.04865022650537086,0.5142158260755106,0.4857841739244894,464,239,225,103,113,,126,122,248,0.08936936936936937,0.5080645161290323,0.49193548387096775
4,AGE5,20-24,43971,40849,84820,0.045263719063966354,0.5184036783777412,0.4815963216222589,432,224,208,80,122,,102,128,230,0.08288288288288288,0.4434782608695652,0.5565217391304348
5,AGE6,25-29,51989,47814,99803,0.05325931329569717,0.5209162049236997,0.47908379507630033,508,265,243,293,281,,0,0,0,0.0,,
6,AGE7,30-34,66875,62199,129074,0.0688796188925064,0.5181136402373832,0.4818863597626168,657,340,317,297,273,,67,20,87,0.03135135135135135,0.7701149425287356,0.22988505747126436
7,AGE8,35-39,66917,63506,130423,0.06959950520490078,0.5130766812602072,0.48692331873979283,664,341,323,383,356,,0,0,0,0.0,,
8,AGE9,40-44,59437,59406,118843,0.0634199029087356,0.5001304241730686,0.4998695758269313,605,303,302,353,336,,0,0,0,0.0,,
9,AGE10,45-49,62742,65288,128030,0.06832249412590913,0.49005701788643286,0.5099429821135671,652,320,332,374,333,,0,0,0,0.0,,
10,AGE11,50-54,62004,67540,129544,0.06913043176635766,0.47863274254307414,0.5213672574569258,659,315,344,195,160,,155,149,304,0.10954954954954955,0.5098684210526315,0.4901315789473684
11,AGE12,55-59,60539,70037,130576,0.06968115280000554,0.4636303761793898,0.5363696238206103,665,308,357,154,121,,187,203,390,0.14054054054054055,0.4794871794871795,0.5205128205128206
12,AGE13,60-64,58901,74860,133761,0.0713808102536572,0.44034509311383735,0.5596549068861626,681,300,381,159,116,,184,222,406,0.1463063063063063,0.45320197044334976,0.5467980295566502
13,AGE14,65-69,46358,67458,113816,0.06073727244735198,0.40730652983763266,0.5926934701623673,579,236,343,259,155,,81,84,165,0.05945945945945946,0.4909090909090909,0.509090909090909
14,AGE15,70-74,35506,60930,96436,0.051462532558979715,0.36818200671948237,0.6318179932805177,491,181,310,254,129,,52,56,108,0.03891891891891892,0.48148148148148145,0.5185185185185185
15,AGE16,75-79,23909,50754,74663,0.03984349276671681,0.3202255467902442,0.6797744532097558,380,122,258,256,124,,0,2,2,0.0007207207207207207,0.0,1.0
16,AGE17,80-84,18743,48993,67736,0.03614693792167915,0.2767066257233967,0.7232933742766032,345,95,250,4,15,,80,246,326,0.11747747747747747,0.24539877300613497,0.754601226993865
17,AGE18,85-89,8161,26042,34203,0.018252239839010153,0.23860480074847235,0.7613951992515277,174,42,132,0,0,,42,132,174,0.0627027027027027,0.2413793103448276,0.7586206896551724
18,AGE19,90-94,3041,11513,14554,0.007766660778789983,0.20894599422839083,0.7910540057716092,74,15,59,0,0,,15,59,74,0.02666666666666667,0.20270270270270271,0.7972972972972973
19,AGE20,95-99,594,2710,3304,0.0017631611387331388,0.1797820823244552,0.8202179176755447,17,3,14,0,0,,3,14,17,0.006126126126126126,0.17647058823529413,0.8235294117647058
20,AGE21,100+,72,258,330,0.0001761026561083341,0.21818181818181817,0.7818181818181819,2,0,2,0,0,,0,2,2,0.0007207207207207207,0.0,1.0
