,AgeGroup,Age,M_x,F_x,AccPOP,PercPOP,PercPOPM,PercPOPF,ExpPOP,ExpPOPM,ExpPOPF,F_y,M_y,X,GenPOPM,GenPOPF,GenPOP,PercGenPOP,PercGenPOPM,PercGenPOPF
0,AGE1,0-4,12205,11337,23542,0.04469403136669723,0.5184351372015972,0.4815648627984029,85,44,41,52,56,,0,0,0,0.0,,
1,AGE2,5-9,12305,11311,23616,0.04483451893449672,0.521045054200542,0.478954945799458,85,44,41,57,47,,0,0,0,0.0,,
2,AGE3,10-14,11372,10654,22026,0.04181593470745362,0.5162989194588214,0.4837010805411786,79,41,38,41,33,,8,0,8,0.013136288998357963,1.0,0.0
3,AGE4,15-19,11227,10453,21680,0.04115906040395871,0.5178505535055351,0.48214944649446495,78,40,38,38,25,,15,0,15,0.024630541871921183,1.0,0.0
4,AGE5,20-24,16711,14209,30920,0.05870102157243558,0.5404592496765848,0.4595407503234153,111,60,51,20,12,,48,31,79,0.1297208538587849,0.6075949367088608,0.3924050632911392
5,AGE6,25-29,25559,20811,46370,0.08803254755219397,0.5511968945438861,0.44880310545611385,167,92,75,25,39,,53,50,103,0.16912972085385877,0.5145631067961165,0.4854368932038835
6,AGE7,30-34,27638,22867,50505,0.09588276502315198,0.5472329472329472,0.45276705276705276,182,100,82,39,39,,61,43,104,0.17077175697865354,0.5865384615384616,0.41346153846153844
7,AGE8,35-39,24625,19983,44608,0.08468742465404937,0.5520310258249641,0.4479689741750359,160,88,72,45,83,,5,27,32,0.052545155993431854,0.15625,0.84375
8,AGE9,40-44,21396,17887,39283,0.07457801521442389,0.5446630858132017,0.45533691418679834,141,77,64,78,93,,0,0,0,0.0,,
9,AGE10,45-49,18400,15832,34232,0.06498878947178573,0.5375087637298435,0.4624912362701566,123,66,57,53,77,,0,4,4,0.006568144499178982,0.0,1.0
10,AGE11,50-54,15487,13819,29306,0.05563687380988994,0.5284583361768921,0.4715416638231079,105,55,50,23,44,,11,27,38,0.06239737274220033,0.2894736842105263,0.7105263157894737
11,AGE12,55-59,15407,14530,29937,0.05683481509747749,0.5146474262618165,0.4853525737381835,108,56,52,25,34,,22,27,49,0.08045977011494253,0.4489795918367347,0.5510204081632653
12,AGE13,60-64,15787,15550,31337,0.059492688001792166,0.5037814723808915,0.4962185276191084,113,57,56,20,33,,24,36,60,0.09852216748768473,0.4,0.6
13,AGE14,65-69,14000,14077,28077,0.05330364109603085,0.4986287708800798,0.5013712291199203,101,50,51,41,41,,9,10,19,0.031198686371100164,0.47368421052631576,0.5263157894736842
14,AGE15,70-74,13419,14367,27786,0.05275118322806258,0.482941049449363,0.517058950550637,100,48,52,43,46,,2,9,11,0.0180623973727422,0.18181818181818182,0.8181818181818182
15,AGE16,75-79,9510,10652,20162,0.038277166783423223,0.47167939688522964,0.5283206031147704,72,34,38,34,40,,0,4,4,0.006568144499178982,0.0,1.0
16,AGE17,80-84,5094,6923,12017,0.022814041922249624,0.4238994757426978,0.5761005242573022,43,18,25,1,0,,18,24,42,0.06896551724137931,0.42857142857142855,0.5714285714285714
17,AGE18,85-89,2757,4681,7438,0.01412089904449469,0.37066415703146005,0.62933584296854,27,10,17,0,0,,10,17,27,0.04433497536945813,0.37037037037037035,0.6296296296296297
18,AGE19,90-94,869,2036,2905,0.005515086276452955,0.2991394148020654,0.7008605851979346,10,3,7,0,0,,3,7,10,0.016420361247947456,0.3,0.7
19,AGE20,95-99,184,648,832,0.0015795358974212937,0.22115384615384615,0.7788461538461539,3,1,2,0,0,,1,2,3,0.0049261083743842365,0.3333333333333333,0.6666666666666666
20,AGE21,100+,20,138,158,0.0002999599420583707,0.12658227848101267,0.8734177215189873,1,0,1,0,0,,0,1,1,0.0016420361247947454,0.0,1.0
