,AgeGroup,Age,M_x,F_x,AccPOP,PercPOP,PercPOPM,PercPOPF,ExpPOP,ExpPOPM,ExpPOPF,F_y,M_y,X,GenPOPM,GenPOPF,GenPOP,PercGenPOP,PercGenPOPM,PercGenPOPF
0,AGE1,0-4,443455,422237,865692,0.049463357323978496,0.5122549359356445,0.48774506406435547,2564,1313,1251,1576,1599,,0,0,0,0.0,,
1,AGE2,5-9,459307,436525,895832,0.05118547741951446,0.5127155538091964,0.48728444619080363,2654,1361,1293,1243,1300,,61,50,111,0.007209196596739625,0.5495495495495496,0.45045045045045046
2,AGE3,10-14,487575,464129,951704,0.054377856118180176,0.5123179055672772,0.48768209443272276,2819,1444,1375,1054,1015,,429,321,750,0.048710787815808274,0.572,0.428
3,AGE4,15-19,522928,499182,1022110,0.05840066923849552,0.5116161665574156,0.48838383344258446,3028,1549,1479,689,693,,856,790,1646,0.10690394232642722,0.520048602673147,0.479951397326853
4,AGE5,20-24,567803,550812,1118615,0.06391471037385377,0.5075946594672877,0.49240534053271234,3314,1682,1632,508,416,,1266,1124,2390,0.15522504383970903,0.5297071129707113,0.4702928870292887
5,AGE6,25-29,576243,557963,1134206,0.06480553898730768,0.5080585008367087,0.49194149916329133,3360,1707,1653,1131,1490,,217,522,739,0.04799636292784309,0.2936400541271989,0.706359945872801
6,AGE7,30-34,573566,558825,1132391,0.06470183467498526,0.5065087942239033,0.4934912057760968,3354,1699,1655,1370,1480,,219,285,504,0.03273364941222316,0.43452380952380953,0.5654761904761905
7,AGE8,35-39,531677,525589,1057266,0.06040939034263162,0.5028791240804111,0.4971208759195888,3132,1575,1557,1740,2341,,0,0,0,0.0,,
8,AGE9,40-44,516049,518325,1034374,0.059101401848039414,0.49889981766749747,0.5011001823325025,3064,1529,1535,1801,2324,,0,0,0,0.0,,
9,AGE10,45-49,548961,556041,1105002,0.06313689946275453,0.4967963858888943,0.5032036141111057,3273,1626,1647,1693,2303,,0,0,0,0.0,,
10,AGE11,50-54,641910,639998,1281908,0.07324484165322843,0.5007457633465116,0.4992542366534884,3797,1901,1896,915,1027,,874,981,1855,0.1204780151977658,0.47115902964959566,0.5288409703504043
11,AGE12,55-59,633796,629665,1263461,0.07219082873344237,0.5016347952172643,0.49836520478273566,3743,1878,1865,713,958,,920,1152,2072,0.13457166980580632,0.444015444015444,0.555984555984556
12,AGE13,60-64,571443,575847,1147290,0.06555312423382369,0.49808069450618414,0.5019193054938159,3398,1692,1706,682,1006,,686,1024,1710,0.11106059622004287,0.40116959064327484,0.5988304093567252
13,AGE14,65-69,500123,512044,1012167,0.057832552446527574,0.4941111496423021,0.5058888503576979,2998,1481,1517,1164,1154,,327,353,680,0.04416444761966617,0.4808823529411765,0.5191176470588236
14,AGE15,70-74,466895,489622,956517,0.05465285824226162,0.48811991841232305,0.511880081587677,2833,1383,1450,1203,1128,,255,247,502,0.03260375397804767,0.5079681274900398,0.49203187250996017
15,AGE16,75-79,320960,358817,679777,0.03884066463779512,0.47215483901338234,0.5278451609866177,2014,951,1063,1029,1173,,0,34,34,0.0022082223809833084,0.0,1.0
16,AGE17,80-84,198565,255065,453630,0.02591922159714583,0.43772457729867953,0.5622754227013205,1344,588,756,84,10,,578,672,1250,0.08118464635968045,0.4624,0.5376
17,AGE18,85-89,97129,160189,257318,0.014702471756573354,0.3774667920627395,0.6225332079372605,762,288,474,0,0,,288,474,762,0.049490160420861205,0.3779527559055118,0.6220472440944882
18,AGE19,90-94,32145,73386,105531,0.006029762966224448,0.30460243909372603,0.695397560906274,313,95,218,0,0,,95,218,313,0.020328635448463986,0.3035143769968051,0.6964856230031949
19,AGE20,95-99,5547,18887,24434,0.0013960943070446426,0.22701972661046083,0.7729802733895391,72,16,56,0,0,,16,56,72,0.004676235630317594,0.2222222222222222,0.7777777777777778
20,AGE21,100+,415,2043,2458,0.00014044363619201652,0.16883645240032547,0.8311635475996745,7,1,6,0,0,,1,6,7,0.0004546340196142106,0.14285714285714285,0.8571428571428571
