,AgeGroup,Age,M_x,F_x,AccPOP,PercPOP,PercPOPM,PercPOPF,ExpPOP,ExpPOPM,ExpPOPF,F_y,M_y,X,GenPOPM,GenPOPF,GenPOP,PercGenPOP,PercGenPOPM,PercGenPOPF
0,AGE1,0-4,143965,135938,279903,0.05180502197941925,0.514338895974677,0.48566110402532303,1204,619,585,645,620,,0,0,0,0.0,,
1,AGE2,5-9,158551,150445,308996,0.05718961415759256,0.51311667464951,0.48688332535048995,1329,682,647,574,593,,89,73,162,0.026401564537157758,0.5493827160493827,0.4506172839506173
2,AGE3,10-14,168268,159525,327793,0.06066860151445241,0.5133361603206902,0.4866638396793098,1410,724,686,471,518,,206,215,421,0.06861147327249022,0.48931116389548696,0.5106888361045131
3,AGE4,15-19,162503,154798,317301,0.05872672061068194,0.5121414681958141,0.4878585318041859,1365,699,666,281,315,,384,385,769,0.12532594524119947,0.49934980494148246,0.5006501950585176
4,AGE5,20-24,173905,162182,336087,0.06220367206495492,0.5174404246519503,0.4825595753480498,1446,748,698,212,208,,540,486,1026,0.16720990873533245,0.5263157894736842,0.47368421052631576
5,AGE6,25-29,187318,177394,364712,0.06750164584215944,0.5136052556537761,0.4863947443462239,1569,806,763,589,705,,101,174,275,0.04481747066492829,0.36727272727272725,0.6327272727272727
6,AGE7,30-34,194992,187795,382787,0.07084700395649905,0.5094007894729967,0.4905992105270033,1647,839,808,652,783,,56,156,212,0.03455019556714472,0.2641509433962264,0.7358490566037735
7,AGE8,35-39,185473,175079,360552,0.06673170450021461,0.514414009629679,0.4855859903703211,1551,798,753,834,1005,,0,0,0,0.0,,
8,AGE9,40-44,179217,169324,348541,0.06450868395740225,0.5141920175818627,0.48580798241813733,1499,771,728,851,1071,,0,0,0,0.0,,
9,AGE10,45-49,188757,179582,368339,0.06817293844966758,0.5124545595226137,0.4875454404773863,1585,812,773,826,976,,0,0,0,0.0,,
10,AGE11,50-54,192490,183755,376245,0.06963619716346947,0.5116081276827599,0.48839187231724007,1619,828,791,373,457,,371,418,789,0.12858539765319427,0.47021546261089986,0.5297845373891001
11,AGE12,55-59,175682,167652,343334,0.06354496170559776,0.5116941520501902,0.4883058479498098,1477,756,721,330,434,,322,391,713,0.11619947848761408,0.45161290322580644,0.5483870967741935
12,AGE13,60-64,157026,153542,310568,0.05748056314546209,0.5056090775611138,0.49439092243888616,1336,675,661,325,411,,264,336,600,0.09778357235984354,0.44,0.56
13,AGE14,65-69,140273,141887,282160,0.052222752173834985,0.49713992061241846,0.5028600793875815,1214,604,610,559,506,,98,51,149,0.024282920469361147,0.6577181208053692,0.3422818791946309
14,AGE15,70-74,127522,131157,258679,0.04787684047907379,0.49297391748073865,0.5070260825192613,1113,549,564,567,516,,33,0,33,0.005378096479791395,1.0,0.0
15,AGE16,75-79,94530,104178,198708,0.03677728465749363,0.47572317168911166,0.5242768283108883,855,407,448,510,456,,0,0,0,0.0,,
16,AGE17,80-84,53113,67241,120354,0.022275365449141396,0.4413064792196354,0.5586935207803646,518,229,289,27,10,,219,262,481,0.07838983050847458,0.4553014553014553,0.5446985446985447
17,AGE18,85-89,27924,43747,71671,0.013265015845799998,0.3896136512675978,0.6103863487324023,308,120,188,0,0,,120,188,308,0.050195567144719684,0.38961038961038963,0.6103896103896104
18,AGE19,90-94,11341,23863,35204,0.006515628606208133,0.32215089194409724,0.6778491080559027,151,49,102,0,0,,49,102,151,0.024608865710560625,0.32450331125827814,0.6754966887417219
19,AGE20,95-99,2494,7366,9860,0.0018249090460519314,0.2529411764705882,0.7470588235294118,42,11,31,0,0,,11,31,42,0.006844850065189048,0.2619047619047619,0.7380952380952381
20,AGE21,100+,208,1007,1215,0.00022487469482282928,0.17119341563786009,0.8288065843621399,5,1,4,0,0,,1,4,5,0.0008148631029986962,0.2,0.8
