,AgeGroup,Age,M_x,F_x,AccPOP,PercPOP,PercPOPM,PercPOPF,ExpPOP,ExpPOPM,ExpPOPF,F_y,M_y,X,GenPOPM,GenPOPF,GenPOP,PercGenPOP,PercGenPOPM,PercGenPOPF
0,AGE1,0-4,221104,211502,432606,0.04204102353992559,0.5110978580972062,0.48890214190279374,2041,1043,998,1265,1284,,0,0,0,0.0,,
1,AGE2,5-9,225542,215223,440765,0.042833922184563555,0.5117057842614545,0.4882942157385455,2080,1064,1016,1175,1172,,0,0,0,0.0,,
2,AGE3,10-14,254565,245102,499667,0.0485580692573011,0.5094693065581677,0.49053069344183226,2358,1201,1157,974,956,,245,183,428,0.02874219327110335,0.572429906542056,0.42757009345794394
3,AGE4,15-19,272935,261817,534752,0.05196765976436362,0.5103954730417091,0.48960452695829093,2523,1288,1235,689,653,,635,546,1181,0.07930965012423612,0.5376799322607959,0.4623200677392041
4,AGE5,20-24,286858,279318,566176,0.055021471139422275,0.5066587068332109,0.49334129316678915,2671,1353,1318,449,353,,1000,869,1869,0.12551205426096299,0.5350454788657036,0.4649545211342964
5,AGE6,25-29,274442,273694,548136,0.05326832840755943,0.5006823124188158,0.4993176875811842,2586,1295,1291,890,1080,,215,401,616,0.04136726882009267,0.349025974025974,0.650974025974026
6,AGE7,30-34,279880,286734,566614,0.05506403635652626,0.49395179081349916,0.5060482091865008,2673,1320,1353,1121,1069,,251,232,483,0.032435699415754485,0.5196687370600414,0.4803312629399586
7,AGE8,35-39,309186,330768,639954,0.06219128069991989,0.48313785053300706,0.5168621494669929,3019,1459,1560,1599,2040,,0,0,0,0.0,,
8,AGE9,40-44,358098,393323,751421,0.0730237397294407,0.4765610756154007,0.5234389243845993,3545,1689,1856,1687,2050,,0,169,169,0.011349137062655295,0.0,1.0
9,AGE10,45-49,381677,424854,806531,0.07837937697738757,0.47323289495382076,0.5267671050461793,3805,1801,2004,1531,1967,,0,473,473,0.03176415284399973,0.0,1.0
10,AGE11,50-54,352906,395092,747998,0.07269108964234722,0.4718007267399111,0.528199273260089,3529,1665,1864,887,976,,689,977,1666,0.11187965885434155,0.4135654261704682,0.5864345738295318
11,AGE12,55-59,346151,396407,742558,0.07216242575868126,0.4661602191343976,0.5338397808656025,3504,1633,1871,582,869,,764,1289,2053,0.13786851118125043,0.37213833414515346,0.6278616658548466
12,AGE13,60-64,320746,370655,691401,0.06719094445414094,0.4639073417597024,0.5360926582402976,3262,1513,1749,664,894,,619,1085,1704,0.1144315358270096,0.36326291079812206,0.6367370892018779
13,AGE14,65-69,286000,341967,627967,0.06102637371949639,0.4554379449875551,0.5445620550124449,2963,1349,1614,1134,1243,,106,480,586,0.03935262910482842,0.18088737201365188,0.8191126279863481
14,AGE15,70-74,250607,311254,561861,0.05460213572434532,0.4460302459149149,0.5539697540850851,2651,1182,1469,1139,1165,,17,330,347,0.023302666039889865,0.04899135446685879,0.9510086455331412
15,AGE16,75-79,188315,260323,448638,0.04359902710296468,0.41974821571066206,0.580251784289338,2117,889,1228,1033,1113,,0,195,195,0.013095158149217648,0.0,1.0
16,AGE17,80-84,135300,209763,345063,0.033533519428203366,0.3921023117517671,0.607897688248233,1628,638,990,75,27,,611,915,1526,0.10247800684977504,0.40039318479685454,0.5996068152031455
17,AGE18,85-89,80342,149635,229977,0.022349362862839322,0.3493479782760885,0.6506520217239116,1085,379,706,0,0,,379,706,1085,0.0728628030353905,0.3493087557603687,0.6506912442396313
18,AGE19,90-94,24763,59497,84260,0.00818845934516426,0.2938879658200807,0.7061120341799193,398,117,281,0,0,,117,281,398,0.026727553555839098,0.29396984924623115,0.7060301507537688
19,AGE20,95-99,4907,16502,21409,0.0020805450524640596,0.2292026717735532,0.7707973282264469,101,23,78,0,0,,23,78,101,0.006782620374722987,0.22772277227722773,0.7722772277227723
20,AGE21,100+,404,1934,2338,0.00022720885294320013,0.1727972626176219,0.8272027373823782,11,2,9,0,0,,2,9,11,0.0007387012289302263,0.18181818181818182,0.8181818181818182
