,AgeGroup,Age,M_x,F_x,AccPOP,PercPOP,PercPOPM,PercPOPF,ExpPOP,ExpPOPM,ExpPOPF,F_y,M_y,X,GenPOPM,GenPOPF,GenPOP,PercGenPOP,PercGenPOPM,PercGenPOPF
0,AGE1,0-4,4053692,3836610,7890302,0.05437734594980983,0.5137562541966074,0.4862437458033926,1817,933,884,814,875,,58,70,128,0.010716677829872739,0.453125,0.546875
1,AGE2,5-9,4896880,4635742,9532622,0.06569567100255073,0.513697070963267,0.486302929036733,2195,1128,1067,752,721,,407,315,722,0.06044876088412592,0.5637119113573407,0.4362880886426593
2,AGE3,10-14,4247344,4041369,8288713,0.057123062498708674,0.5124250290726678,0.48757497092733215,1909,978,931,687,617,,361,244,605,0.05065304755525787,0.596694214876033,0.4033057851239669
3,AGE4,15-19,3751083,3591364,7342447,0.05060171088979146,0.5108764149063657,0.4891235850936343,1691,864,827,468,488,,376,359,735,0.06153717347622237,0.5115646258503401,0.4884353741496599
4,AGE5,20-24,3538361,3401106,6939467,0.04782450630739976,0.5098894482818349,0.4901105517181651,1598,815,783,362,322,,493,421,914,0.07652377762893503,0.5393873085339168,0.46061269146608314
5,AGE6,25-29,4290942,4145187,8436129,0.05813900470605855,0.508638737032115,0.4913612629678849,1943,988,955,448,581,,407,507,914,0.07652377762893503,0.44529540481400437,0.5547045951859956
6,AGE7,30-34,6175348,6068609,12243957,0.0843812930840411,0.5043588441220432,0.49564115587795676,2820,1422,1398,567,557,,865,831,1696,0.1419959812458138,0.5100235849056604,0.48997641509433965
7,AGE8,35-39,6111248,6198023,12309271,0.08483141552211329,0.49647521774441394,0.5035247822555861,2835,1408,1427,828,1146,,262,599,861,0.07208640321500336,0.3042973286875726,0.6957026713124274
8,AGE9,40-44,5318361,5610822,10929183,0.075320306490142,0.4866201801177636,0.5133798198822364,2517,1225,1292,881,1119,,106,411,517,0.04328533154722036,0.20502901353965183,0.7949709864603481
9,AGE10,45-49,4778908,5257967,10036875,0.0691708155315218,0.4761350519957656,0.5238649480042343,2311,1100,1211,832,1102,,0,379,379,0.031731413261888816,0.0,1.0
10,AGE11,50-54,4155225,4686764,8841989,0.06093605729380359,0.46994233989660017,0.5300576601033998,2036,957,1079,673,804,,153,406,559,0.04680174146014735,0.2737030411449016,0.7262969588550984
11,AGE12,55-59,4273108,5247889,9520997,0.06561555535594221,0.44880887999439556,0.5511911200056044,2192,984,1208,576,805,,179,632,811,0.0679002009377093,0.22071516646115907,0.7792848335388409
12,AGE13,60-64,4298075,5866238,10164313,0.07004907598506994,0.4228593708202414,0.5771406291797586,2341,990,1351,476,767,,223,875,1098,0.09192900200937709,0.20309653916211293,0.7969034608378871
13,AGE14,65-69,3186548,5099955,8286503,0.0571078319112674,0.3845467744354886,0.6154532255645113,1908,734,1174,672,734,,0,502,502,0.04202947086403215,0.0,1.0
14,AGE15,70-74,2151705,3963418,6115123,0.042143400708444224,0.3518661848666004,0.6481338151333996,1408,495,913,639,737,,0,274,274,0.022940388479571333,0.0,1.0
15,AGE16,75-79,804387,1799526,2603913,0.01794530526514792,0.3089146987629771,0.6910853012370229,600,185,415,601,745,,0,0,0,0.0,,
16,AGE17,80-84,889007,2555100,3444107,0.023735643810232063,0.25812409428626926,0.7418759057137307,793,205,588,53,11,,194,535,729,0.06103482920294709,0.2661179698216735,0.7338820301783264
17,AGE18,85-89,320189,1065361,1385550,0.009548751325457377,0.23109162426473243,0.7689083757352676,319,74,245,0,0,,74,245,319,0.02670797052913597,0.23197492163009403,0.768025078369906
18,AGE19,90-94,130677,522047,652724,0.0044983574466153095,0.2002025358344415,0.7997974641655585,150,30,120,0,0,,30,120,150,0.012558606831882117,0.2,0.8
19,AGE20,95-99,19652,108309,127961,0.0008818647961869666,0.15357804331007105,0.8464219566899289,29,4,25,0,0,,4,25,29,0.0024279973208305426,0.13793103448275862,0.8620689655172413
20,AGE21,100+,1913,8683,10596,7.302411969582215e-05,0.18053982634956586,0.8194601736504341,2,0,2,0,0,,0,2,2,0.00016744809109176155,0.0,1.0
