,AgeGroup,Age,M_x,F_x,AccPOP,PercPOP,PercPOPM,PercPOPF,ExpPOP,ExpPOPM,ExpPOPF,F_y,M_y,X,GenPOPM,GenPOPF,GenPOP,PercGenPOP,PercGenPOPM,PercGenPOPF
0,AGE1,0-4,178300,166898,345198,0.04730841386111666,0.5165151594157555,0.4834848405842444,1582,817,765,796,791,,26,0,26,0.00231049497911668,1.0,0.0
1,AGE2,5-9,183544,171874,355418,0.04870903608274196,0.5164172889386581,0.4835827110613419,1628,841,787,727,712,,129,60,189,0.016795521194348174,0.6825396825396826,0.31746031746031744
2,AGE3,10-14,175842,164686,340528,0.046668403511313315,0.5163804444862097,0.4836195555137903,1560,806,754,657,676,,130,97,227,0.020172398471518707,0.5726872246696035,0.42731277533039647
3,AGE4,15-19,192702,181137,373839,0.05123358226127032,0.5154678885830531,0.48453211141694685,1713,883,830,525,521,,362,305,667,0.05927308273349329,0.5427286356821589,0.4572713643178411
4,AGE5,20-24,191413,180971,372384,0.051034178608387264,0.514020473489731,0.485979526510269,1706,877,829,370,330,,547,459,1006,0.08939838265351462,0.5437375745526839,0.4562624254473161
5,AGE6,25-29,223403,215211,438614,0.06011081361212933,0.5093385072067923,0.4906614927932077,2010,1024,986,420,516,,508,566,1074,0.09544121567581978,0.4729981378026071,0.527001862197393
6,AGE7,30-34,243708,237250,480958,0.06591393957617062,0.5067136839391382,0.4932863160608619,2204,1117,1087,541,525,,592,546,1138,0.101128587932107,0.5202108963093146,0.4797891036906854
7,AGE8,35-39,264823,254951,519774,0.07123356307466454,0.509496434989053,0.49050356501094705,2381,1213,1168,856,1169,,44,312,356,0.03163600817559762,0.12359550561797752,0.8764044943820225
8,AGE9,40-44,276540,269325,545865,0.07480926115533243,0.5066087768953862,0.49339122310461375,2501,1267,1234,878,1100,,167,356,523,0.04647649515684706,0.3193116634799235,0.6806883365200764
9,AGE10,45-49,271250,271772,543022,0.07441963601090183,0.4995193564901606,0.5004806435098393,2488,1243,1245,865,1156,,87,380,467,0.04150004443259575,0.18629550321199143,0.8137044967880086
10,AGE11,50-54,247786,255628,503414,0.06899147114259116,0.49221118204896963,0.5077888179510304,2306,1135,1171,657,833,,302,514,816,0.07251399626766196,0.3700980392156863,0.6299019607843137
11,AGE12,55-59,237560,254737,492297,0.06746791759681732,0.48255423047469315,0.5174457695253069,2255,1088,1167,519,751,,337,648,985,0.08753221363192037,0.34213197969543147,0.6578680203045685
12,AGE13,60-64,217164,256386,473550,0.06489869403626844,0.4585872663921444,0.5414127336078556,2170,995,1175,493,742,,253,682,935,0.08308895405669599,0.27058823529411763,0.7294117647058823
13,AGE14,65-69,198851,278869,477720,0.06547018079401576,0.4162501046638198,0.5837498953361802,2189,911,1278,666,797,,114,612,726,0.06451612903225806,0.15702479338842976,0.8429752066115702
14,AGE15,70-74,173292,239995,413287,0.05663981958012306,0.4193018410934774,0.5806981589065225,1893,794,1099,655,753,,41,444,485,0.04309961787967653,0.08453608247422681,0.9154639175257732
15,AGE16,75-79,108935,166630,275565,0.03776540728984123,0.39531507992669607,0.604684920073304,1262,499,763,650,777,,0,113,113,0.010041766640007109,0.0,1.0
16,AGE17,80-84,71039,129237,200276,0.027447261845227954,0.3547055064011664,0.6452944935988336,918,326,592,48,15,,311,544,855,0.07597973873633698,0.36374269005847953,0.6362573099415205
17,AGE18,85-89,31870,72684,104554,0.014328831287652857,0.3048185626566176,0.6951814373433823,479,146,333,0,0,,146,333,479,0.04256642673064961,0.3048016701461378,0.6951983298538622
18,AGE19,90-94,8031,25730,33761,0.004626849982807431,0.23787802494001956,0.7621219750599805,155,37,118,0,0,,37,118,155,0.013774104683195593,0.23870967741935484,0.7612903225806451
19,AGE20,95-99,1000,5277,6277,0.0008602451746714328,0.15931177314003506,0.8406882268599649,29,5,24,0,0,,5,24,29,0.0025770905536301432,0.1724137931034483,0.8275862068965517
20,AGE21,100+,51,405,456,6.24935159551017e-05,0.1118421052631579,0.8881578947368421,2,0,2,0,0,,0,2,2,0.0001777303830089754,0.0,1.0
