Age,M,F
0-4,9797889,9366525
5-9,10509213,10040118
10-14,11149994,10614852
15-19,11263821,10781162
20-24,11221682,10798279
25-29,11634079,11270286
30-34,11834504,11580584
35-39,11377753,11135344
40-44,10798907,10719045
45-49,10183581,10199846
50-54,10668184,10719191
55-59,10695653,11099410
60-64,10380035,10950197
65-69,8949853,9818727
70-74,6728823,7844096
75-79,4526904,5522105
80-84,2787665,3656496
85-89,1562057,2389709
90-94,695426,1143976
95-99,153307,338595
100+,22304,67435
